,US,Canada,UK,Austria,Belgim,Denmark,Finlnd,France,Germy,Ireland,Italy,Nether,Norway,Portug,Spain,Sweden,Switzer
Jan-1919,100,100,476.6,0,17.24,0,0,1833.55,36.23,0,0,42.02,0,0,5.72,28.65,0
Feb-1919,100.32,101.13,482.69,0,17.54,0,0,1786.53,33.02,0,0,42.25,0,0,5.74,26.47,0
Mar-1919,103.48,102.1,474.56,0,16.95,0,0,1644.3,28.74,0,0,42.41,0,0,5.66,25.73,0
Apr-1919,106.96,103.56,469.23,0,15.87,0,0,1628.57,23.43,0,0,41.45,0,0,5.8,23.68,0
May-1919,114.24,109.55,503.17,0,15.63,0,0,1601.84,21.74,0,0,41.84,0,0,5.84,23.49,0
Jun-1919,117.41,106.96,495.11,0,14.93,0,0,1593.99,21.04,0,0,42.28,0,0,5.9,23.21,0
Jul-1919,121.2,108.25,474.54,0,15.98,0,0,1480.13,20.31,0,0,43.5,0,0,5.94,22.52,0
Aug-1919,112.97,106.8,479.91,0,14.03,0,0,1355.39,16.11,0,0,43.57,0,0,5.83,21.41,0
Sep-1919,114.87,107.77,461.32,0,13.53,0,0,1335.5,14.32,0,0,43.98,0,0,5.51,20.17,0
Oct-1919,120.73,109.55,497.19,0,13.53,0,0,1350.57,14.16,0,0,45.07,0,0,5.37,19.46,0
Nov-1919,117.09,107.93,497.61,0,15.19,0,0,1267.99,10.02,0,0,44.06,0,0,4.98,17.65,0
Dec-1919,113.61,109.87,480.21,0,12.85,0,0,1075.75,8.3,0,0,42.48,0,0,4.84,17.13,0
Jan-1920,112.34,111.65,511.1,0,11.14,0,0,997.84,7.84,0,0,41.95,0,0,5.53,17.91,0
Feb-1920,103.01,108.41,450.07,0,11.52,0,0,928.8,6.19,0,0,38.98,0,0,6.37,16.33,0
Mar-1920,110.44,110.03,481.48,0,11.86,0,0,1037.61,7.18,0,0,40.37,0,0,6.38,17.11,0
Apr-1920,109.65,109.06,482.44,0,10.47,0,0,973.37,9.45,0,0,43.45,0,0,6.45,17.76,0
May-1920,102.69,107.28,437.27,0,10.95,0,0,998.35,10.56,0,0,43.68,0,0,6.55,15.81,0
Jun-1920,100.95,109.87,415.52,0,12.58,0,0,1059.35,13.1,0,0,42.15,0,0,6.71,16.35,0
Jul-1920,100.79,112.94,401.56,0,13.24,0,0,1078.25,14.56,0,0,40.43,0,0,6.78,16.21,0
Aug-1920,96.84,110.03,357.5,0,10.88,0,0,940.28,13.14,0,0,38.04,0,0,7.24,14.64,0
Sep-1920,100.32,110.68,353.28,0,10.18,0,0,827.61,11.65,0,0,37.3,0,0,7.5,13.41,0
Oct-1920,100.32,108.9,352.01,0,9.83,0,0,756.05,11.01,0,0,34.04,0,0,7.58,12.77,0
Nov-1920,95.25,101.13,307.99,0,8.62,0,0,631.03,10.32,0,0,31.83,0,0,7.82,11.53,0
Dec-1920,86.71,98.22,292.51,0,8.46,0,0,640.18,11.54,0,0,28.37,0,0,7.49,11.95,0
Jan-1921,90.51,100.81,303.73,0,9.15,0,0,685.25,13.15,0,0,30.59,0,0,6.83,13.17,0
Feb-1921,90,101.62,289.44,0,8.21,0,0,695.81,13.02,0,0,30.51,0,0,6.94,12.94,0
Mar-1921,91.11,97.09,302.21,0,8.39,0,0,718.47,13.04,0,0,29.19,0,0,7.15,12.73,0
Apr-1921,94.85,95.15,313.81,0,8.45,0,0,747.92,13.28,0,0,27.35,0,0,7,12.71,0
May-1921,95.12,95.95,312.32,0,8.48,0,0,797.82,13.67,0,0,28.63,0,0,7.28,11.49,0
Jun-1921,80.97,91.91,299.61,0,8.14,0,0,737.81,13.24,0,0,24.39,0,0,7.4,10.41,0
Jul-1921,79.81,88.03,275.94,0,7.76,0,0,693.1,13.48,0,0,23.13,0,0,7.07,11.1,0
Aug-1921,75.92,87.86,279.98,0,7.65,0,0,752.22,14.15,0,0,23,0,0,6.7,10.66,0
Sep-1921,81.91,88.19,273.25,0,7.32,0,0,718.37,14.39,0,0,21.81,0,0,6.8,10.46,0
Oct-1921,81.64,91.1,259.04,0,7.27,0,0,686.65,13.15,0,0,20.37,0,0,6.63,10.33,0
Nov-1921,86.71,92.39,270.68,0,7.5,0,0,669.58,10.92,0,0,21.29,0,0,6.16,10.16,0
Dec-1921,88.26,86.29,299.56,0,8.12,0,0,727.94,11.69,0,0,21.86,0,0,5.85,11.01,0
Jan-1922,91.09,90.16,307.27,0,8.43,0,0,779.67,11.89,0,0,22.35,0,0,6.4,11.44,0
Feb-1922,97.29,91.76,334.23,0,9.88,0,0,805.28,12.41,0,0,22.07,0,0,6.63,10.36,0
Mar-1922,102.08,94.47,338.15,0,9.97,0,0,826.65,10.65,0,0,21.58,0,0,6.74,9.8,0
Apr-1922,113.09,98.78,372.53,0,10.14,0,0,830.58,10.74,0,0,21.84,0,0,6.87,10.96,0
May-1922,116.81,101.01,383.97,0,9.07,0,0,854.67,9.23,0,0,20.74,0,0,7.2,12.47,0
Jun-1922,118.14,99.9,384.49,0,8.92,0,0,823.98,7.96,0,0,19.26,0,0,7.36,12.29,0
Jul-1922,124.06,100.22,392.63,0,8.5,0,0,798.66,5.58,0,0,17.55,0,0,7.51,12.35,0
Aug-1922,129.61,102.93,400.11,0,9.17,0,0,829.87,3.13,0,0,17.57,0,0,7.69,12.21,0
Sep-1922,133.45,105.64,391.31,0,9.17,0,0,816.16,2.64,0,0,17.99,0,0,8.06,11.5,0
Oct-1922,136.71,105.16,400.57,0,8.67,0,0,823.34,1.99,0,0,20.02,0,0,8.26,11,0
Nov-1922,130.87,104.04,418.91,0,10.08,0,0,800.03,2.16,0,0,20.41,0,0,8.42,10.18,0
Dec-1922,134.95,106.42,449.03,0,10.55,0,0,857.57,3.63,0,0,20.24,0,0,6.81,10.89,0
Jan-1923,140.75,106.29,468.52,0,9.6,0,0,867.57,3.83,0,0,20.99,0,0,7.02,10.52,0
Feb-1923,145.51,109.14,475.19,0,9.71,0,0,828.83,4.96,0,0,21.42,0,0,7.15,10.77,0
Mar-1923,151.98,111.52,487.9,0,9.87,0,0,825.63,4.87,0,0,22.06,0,0,7.55,11.56,0
Apr-1923,150.22,112.32,498.75,0,10.38,0,0,899.21,6.29,0,0,23.2,0,0,7.82,11.81,0
May-1923,138.31,111.52,501.65,0,10.06,0,0,907.95,6.12,0,0,21.87,0,0,7.95,11.33,0
Jun-1923,134.93,111.36,506.45,0,9.52,0,0,914.22,9.82,0,0,20.59,0,0,7.9,10.97,0
Jul-1923,127.85,107.4,479.13,0,8.59,0,0,905.64,11.72,0,0,19.32,0,0,7.83,11.08,0
Aug-1923,128.82,107.24,479.69,0,10.86,0,0,899.01,8.28,0,0,18.03,0,0,7.97,10.77,0
Sep-1923,127.12,106.61,489.59,0,11.66,0,0,881.79,16.49,0,0,18.89,0,0,8.01,10.86,0
Oct-1923,122.51,106.13,484.71,0,12.19,0,0,924.71,20.81,0,0,18.8,0,0,7.77,10.69,0
Nov-1923,131.79,106.45,466.65,0,10.81,0,0,899.5,28.77,0,0,18.69,0,0,7.83,9.99,0
Dec-1923,139.01,107.71,441.66,0,10.51,0,0,888.42,19.65,0,0,19.13,0,0,8.05,10.22,0
Jan-1924,140.39,112.29,428.67,0,9.59,0,0,830.35,23.81,0,0,20.24,0,0,8.19,11.36,0
Feb-1924,142.63,113.89,458.77,0,10.34,0,0,838.63,26.55,0,0,21.11,0,0,8.31,11.33,0
Mar-1924,136.64,112.61,440.25,0,10.42,0,0,784.57,20.95,0,0,19.68,0,0,8.61,12.58,0
Apr-1924,127.29,110.22,449.23,0,13.99,0,0,1052.98,15.08,0,0,18.71,0,0,8.91,12.36,0
May-1924,125.6,110.38,447.43,0,11.27,0,0,1006.2,12.56,0,0,17.98,0,0,9.32,11.86,0
Jun-1924,130.39,110.54,437.61,0,10.55,0,0,911.97,10.23,0,0,16.73,0,0,9.28,11.67,0
Jul-1924,138.45,111.18,439.84,0,10.5,0,0,926.75,10.5,0,0,16.96,0,0,9.1,11.9,0
Aug-1924,147.27,112.77,461.59,0,11.46,0,0,976.9,14.98,0,0,18.65,0,0,9.2,12.34,0
Sep-1924,144.42,113.73,457.69,0,11.35,0,0,957.19,15.03,0,0,19.56,0,0,9.47,12.01,0
Oct-1924,144.25,113.89,466.18,0,11.02,0,0,965.62,14.2,0,0,20.32,0,0,9.76,11.78,0
Nov-1924,157.2,115.81,514.88,0,11.29,0,0,936.72,14.88,0,0,20.35,0,0,10.01,12.1,0
Dec-1924,167.66,116.64,524.49,0,11.62,0,0,933.02,17.25,0,0,20.32,0,0,7.76,12.97,0
Jan-1925,179.61,119.74,555.83,18.79,11.8,0,0,920.49,20.72,0,0,20.77,0,0,8.04,13.42,0
Feb-1925,183.14,123.79,545.37,17.87,10.65,0,0,887.18,20.12,0,0,20.87,0,0,8.32,13.65,0
Mar-1925,181.25,122.82,545.83,17.2,10.65,0,0,883.06,19.1,0,0,21.2,0,0,8.34,13.65,0
Apr-1925,173.21,122.17,541.77,16.47,10.59,0,0,887.49,18.17,0,0,20.76,0,0,8.47,13.65,0
May-1925,186.16,124.43,545.4,15.82,9.69,0,0,836.85,16.86,0,0,21.33,0,0,8.71,13.43,0
Jun-1925,189.85,125.89,545.96,15.06,9.06,0,0,790.46,14.84,0,0,21.75,0,0,8.5,13.2,0
Jul-1925,200.65,128.64,530.18,17.04,8.89,0,0,833.78,14.29,0,0,21.73,0,0,8.66,13.57,0
Aug-1925,213.5,134.95,555.09,16.02,9.21,0,0,833.78,13.04,0,0,22.03,0,0,9.06,14.4,0
Sep-1925,212.05,136.89,560.12,15.89,8.97,0,0,821.11,13.81,0,0,22.24,0,0,9.29,14.25,0
Oct-1925,231.28,141.91,575.5,15.27,9.21,0,0,751.23,13.02,0,0,22.91,0,0,9.5,14.67,0
Nov-1925,242.85,141.42,594.74,14.4,7.89,0,0,683.11,11.87,0,0,23.37,0,0,9.76,15,0
Dec-1925,238.48,143.53,579.48,13.27,7.89,0,0,659.25,11.4,0,0,23.58,0,0,8.01,15.27,0
Jan-1926,238.31,149.03,596.21,14.35,7.92,24.8,0,678.73,12.67,0,0,23.34,0,0,8.27,15.79,19.3
Feb-1926,238.31,157.12,586.53,15.5,8.57,25.98,0,677.46,13.9,0,0,23.51,0,0,8.92,15.91,19.8
Mar-1926,224.29,152.1,581.15,14.46,7.92,26.1,0,628.22,14.6,0,0,23.05,0,0,9.17,15.72,20.05
Apr-1926,217.28,150.97,570.98,15.21,6.9,26.1,0,594.26,16.19,0,0,22.64,0,0,9.25,16.02,19.8
May-1926,217.28,149.51,581.27,14.42,6.14,25.31,0,563.87,16.01,0,0,22.23,0,0,9.34,16.36,19.8
Jun-1926,226.63,153.07,592.04,14.47,5.85,24.99,0,575.52,17.07,0,0,22.22,0,0,9.38,16.86,21.18
Jul-1926,233.63,156.47,581.39,15.82,4.81,25.3,0,554.09,18.65,0,0,22.67,0,0,9.6,17.31,21.18
Aug-1926,240.64,162.14,586.05,15.93,6.75,24.99,0,609.82,20.59,0,0,22.64,0,0,9.86,17.26,22.06
Sep-1926,242.98,166.67,595.72,17.7,6.68,25.69,0,660.89,21.11,0,0,23.06,0,0,9.94,17.15,22.18
Oct-1926,238.31,164.89,595.23,17,6.81,26.3,0,652.94,23.23,0,0,23.02,0,0,10.16,17.15,21.68
Nov-1926,240.64,167.64,600.23,16.54,7.91,26.3,0,707.21,24.63,0,0,23.23,0,0,10.44,17.33,21.93
Dec-1926,245.32,167.47,595.35,15.95,7.91,26.3,0,772.71,24.46,0,0,23.02,0,0,8.28,17.49,21.93
Jan-1927,247.65,172.98,616.13,19.39,7.9,27.1,0,849.29,27.92,0,0,23.45,0,0,8.52,16.99,23.19
Feb-1927,252.32,181.23,610.62,19.58,8.56,28.32,0,858.24,29.86,0,0,24.58,0,0,8.74,17.1,24.69
Mar-1927,254.66,184.14,611.12,19.47,8.56,28.02,0,930.62,28.8,0,0,25.26,0,0,8.94,17.26,24.81
Apr-1927,257,188.35,611.5,20.1,8.56,28.02,0,992.66,30.92,0,0,25.03,0,0,9.31,17.6,24.81
May-1927,264.01,191.42,626.92,20.57,10.6,28.32,0,961.64,29.68,0,0,25.04,0,0,9.7,18.05,25.06
Jun-1927,266.34,190.13,626.79,18.71,10.6,27.41,0,927.17,26.86,0,0,24.61,0,0,10.09,18.28,23.81
Jul-1927,273.35,191.42,626.66,18.12,10.6,28.02,0,961.64,27.92,0,0,24.17,0,0,10.52,18.5,24.19
Aug-1927,261.67,202.43,637.59,18.52,10.22,28.63,0,947.85,27.39,0,0,24.84,0,0,10.65,19.68,24.81
Sep-1927,301.39,215.7,648.41,19,10.23,28.93,0,968.53,26.15,0,0,25.53,0,0,10.45,21.1,26.44
Oct-1927,299.05,221.36,674.97,19.98,10.23,28.63,0,975.42,25.27,0,0,26.5,0,0,11.24,21.1,26.32
Nov-1927,306.06,224.92,675.52,19.02,11.88,28.93,0,955.98,22.62,0,0,26.14,0,0,11.42,20.87,26.69
Dec-1927,317.74,232.78,676.77,18.46,11.91,28.93,0,1056.43,24.03,0,0,26.2,0,0,9,21.15,27.95
Jan-1928,320.08,241.34,706.61,18.25,11.87,28.52,0,1153.41,25.16,0,0,26.37,26.7,0,9.23,22.34,30.45
Feb-1928,315.41,236.01,701.45,17.66,12.68,28.52,0,1108.39,24.28,0,0,26.76,26.7,0,9.42,23.53,30.33
Mar-1928,329.42,241.67,727.98,17.23,12.58,28.22,0,1253.86,23.93,0,0,26.75,28.84,0,10.08,24.09,30.33
Apr-1928,350.45,253.14,738.61,17.31,14.39,27.91,0,1413.19,25.16,0,0,26.8,30.44,0,10.86,24.43,30.96
May-1928,362.13,265.92,764.44,17.94,14.86,27.91,0,1430.51,25.87,0,0,26.59,33.11,0,11.28,25.23,31.21
Jun-1928,345.78,245.55,738.31,17.19,14.74,27.91,0,1433.98,26.04,0,0,25.69,33.38,0,11.9,25.23,30.58
Jul-1928,345.78,246.68,715.31,16.68,13.64,27.61,0,1364.9,25.34,0,0,25.41,33.11,0,11.61,24.09,30.08
Aug-1928,357.46,240.21,718.97,16.9,12.2,27.91,0,1522.81,25.16,0,0,25.77,33.11,0,11.98,25.84,31.33
Sep-1928,378.49,258.16,733.92,16.96,14.08,27.61,0,1570.83,25.16,0,0,25.98,33.11,0,12.4,26.74,32.08
Oct-1928,387.83,272.22,749.17,16.78,13.49,27.31,0,1574.26,24.81,0,0,25.53,33.11,0,12.61,26.29,31.96
Nov-1928,418.21,297.76,733.62,17.11,13.01,27.61,0,1632.56,24.63,0,0,26.02,32.84,0,12.81,27.64,31.46
Dec-1928,415.87,296.49,713.54,16.98,12.71,27.91,0,1716.47,24.99,0,5.24,26.49,32.57,0,11.36,27.98,31.71
Jan-1929,450.91,334.93,764.56,17.24,12.78,28.52,0,1985.83,24.46,0,5.33,27.1,33.11,0,31.83,28.43,31.67
Feb-1929,448.58,337.48,759.74,16.7,13.84,28.82,0,2006.4,23.48,0,5.42,27.74,33.91,0,30.53,28.2,31.04
Mar-1929,457.92,309.78,734.23,16.58,13.48,28.72,0,1934.38,23.3,0,5.53,27.52,36.31,0,28.63,27,29.8
Apr-1929,450.91,307.87,734.23,16.66,13.36,28.22,0,1855.49,23.3,0,5.53,26.69,36.31,0,28.03,27,28.8
May-1929,450.91,300.63,739.06,15.94,12.42,28.41,0,1872.64,22.52,0,5.53,26.5,36.05,0,27.38,26.74,29.58
Jun-1929,446.24,297.92,723.21,15.55,12.06,29.32,0,1806.09,23.05,0,5.52,26.24,36.18,0,26.38,27.41,30.67
Jul-1929,474.28,310.41,708.26,15.5,11.59,30.23,0,1723.36,22.7,0,5.39,26.01,36.44,0,26.65,28.51,30.3
Aug-1929,490.63,333.59,728.49,15.58,11.84,30.23,0,1744.04,22.35,0,5.26,26.19,36.18,0,27.44,28.17,30.17
Sep-1929,504.65,348.48,738.6,15.31,12.31,30.53,0,1812.98,21.99,0,5.14,26.21,36.18,0,27.83,27.08,29.8
Oct-1929,453.25,298,695.58,14.9,10.82,30.34,0,1718,20.5,0,5.03,25.4,35.24,0,26.66,25.68,27.7
Nov-1929,338.77,246.32,624.34,14,10.36,29.85,0,1610.62,19.79,0,4.91,22.54,34.57,0,24.57,24.73,26.71
Dec-1929,343.44,250.96,624.98,14.06,9.18,29.85,0,1624.48,18.91,0,4.79,22.54,33.77,0,24.01,24.45,27.08
Jan-1930,348.11,249.17,638.77,14.2,9.02,29.54,0,1735.32,19.97,0,4.83,22.47,33.91,0,22.56,25.9,29.08
Feb-1930,364.47,249.28,612.13,15.44,9.13,29.24,0,1678.56,19.97,0,4.89,22.63,33.91,0,21.81,26.02,29.2
Mar-1930,380.82,254.51,596.82,14.47,7.95,28.93,0,1671.66,19.61,0,4.95,21.95,34.3,0,20.69,26.92,29.58
Apr-1930,399.51,269.42,617.4,14.58,8.79,28.63,0,1706.13,20.14,0,4.84,22.44,33.77,0,21.62,26.65,29.48
May-1930,373.81,245.62,611.88,14.53,9.03,28.32,0,1633.75,20.14,0,4.74,21.12,33.5,0,21.2,25.45,28.09
Jun-1930,334.1,217.96,575.77,13.84,8.55,27.1,0,1544.13,19.18,0,4.64,19.09,32.96,0,19.68,23.87,26.33
Jul-1930,327.09,213.81,576.6,13.32,7.97,27.71,0,1572.52,18.02,0,4.48,18.21,32.96,0,19.15,23.93,26.58
Aug-1930,324.75,202.63,546.27,12.9,7.5,27.71,0,1510.18,16.72,0,4.33,17.33,32.96,0,18.09,22.68,26.71
Sep-1930,324.75,211.86,565.72,12.89,7.36,26.8,0,1475.2,16.36,0,4.18,16.65,32.7,0,18.29,22.34,26.33
Oct-1930,275.69,180.28,529.5,12.11,7.24,26.19,0,1361.46,15.31,0,3.99,16.66,32.43,0,17.45,21.61,25.45
Nov-1930,254.66,177.52,539.45,12.08,7.79,26.7,0,1302.86,14.6,0,3.8,15.96,32.03,0,18.79,21.38,24.56
