,Austrl,NewZe,Japan,India,Pakist,Philip,Safric,Argent,Brazil,Chile,Colomb,Mexico,Peru,Urugu,Venez,Czech,Greece,Hungar,Poland,Romani,Egypt,Israel
Jan-1919,0,0,51.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-1919,0,0,50.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-1919,0,0,52.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-1919,0,0,53.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-1919,0,0,58.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1919,0,0,65.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul-1919,0,0,70.04,0,0,0,0,0,0,0,0,0,0,0,0,779.31,0,0,0,0,0,0
Aug-1919,0,0,67.27,0,0,0,0,0,0,0,0,0,0,0,0,649.13,0,0,0,0,0,0
Sep-1919,0,0,70.92,0,0,0,0,0,0,0,0,0,0,0,0,454.43,0,0,0,0,0,0
Oct-1919,0,0,69.7,0,0,0,0,0,0,0,0,0,0,0,0,395.22,0,0,0,0,0,0
Nov-1919,0,0,67.2,0,0,0,0,0,0,0,0,0,0,0,0,311.36,0,0,0,0,0,0
Dec-1919,0,0,71.88,0,0,0,0,0,0,0,0,0,0,0,0,287.2,0,0,0,0,0,0
Jan-1920,0,0,77.71,0,0,0,0,0,0,0,0,0,0,0,0,266.74,0,0,0,0,0,0
Feb-1920,0,0,73.65,0,0,0,0,0,0,0,0,0,0,0,0,186.44,0,0,0,0,0,0
Mar-1920,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0,206.2,0,0,0,0,0,0
Apr-1920,0,0,54.05,0,0,0,0,0,0,0,0,0,0,0,0,209.86,0,0,0,0,0,0
May-1920,0,0,42.15,0,0,0,0,0,0,0,0,0,0,0,0,281.8,0,0,0,0,0,0
Jun-1920,0,0,37.58,0,0,0,0,0,0,0,0,0,0,0,0,308.29,0,0,0,0,0,0
Jul-1920,0,0,38.73,0,0,0,0,0,0,0,0,0,0,0,0,327.95,0,0,0,0,0,0
Aug-1920,0,0,37.06,0,0,0,0,0,0,0,0,0,0,0,0,235.88,0,0,0,0,0,0
Sep-1920,0,0,37.47,0,0,0,0,0,0,0,0,0,0,0,0,214.47,0,0,0,0,0,0
Oct-1920,0,0,34.81,0,0,0,0,0,0,0,0,0,0,0,0,165.46,0,0,0,0,0,0
Nov-1920,0,0,38.32,0,0,0,0,0,0,0,0,0,0,0,0,143.04,0,0,0,0,0,0
Dec-1920,0,0,37.23,0,0,0,0,0,0,0,0,0,0,0,0,134.63,0,0,0,0,0,0
Jan-1921,0,0,36.68,0,0,0,0,0,0,0,0,0,0,0,0,131.07,0,0,2067,0,0,0
Feb-1921,0,0,39.76,0,0,0,0,0,0,0,0,0,0,0,0,128.83,0,0,2027.29,0,0,0
Mar-1921,0,0,38.31,0,0,0,0,0,0,0,0,0,0,0,0,131.18,0,0,2324.07,0,0,0
Apr-1921,0,0,38.43,0,0,0,0,0,0,0,0,0,0,0,0,125.09,0,0,2009.53,0,0,0
May-1921,0,0,37.77,0,0,0,0,0,0,0,0,0,0,0,0,124.94,0,0,1666.77,0,0,0
Jun-1921,0,0,37.96,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,890.34,0,0,0
Jul-1921,0,0,39.4,0,0,0,0,0,0,0,0,0,0,0,0,119.69,0,0,924.82,0,0,0
Aug-1921,0,0,42.32,0,0,0,0,0,0,0,0,0,0,0,0,121.47,0,0,679.25,0,0,0
Sep-1921,0,0,41.55,0,0,0,0,0,0,0,0,0,0,0,0,114.88,0,0,422.18,0,0,0
Oct-1921,0,0,40.01,0,0,0,0,0,0,0,0,0,0,0,0,100.11,0,0,616.55,0,0,0
Nov-1921,0,0,37.26,0,0,0,0,0,0,0,0,0,0,0,0,97.18,0,0,530.86,0,0,0
Dec-1921,0,0,37.87,0,0,0,0,0,0,0,0,0,0,0,0,111.75,0,0,708.51,0,0,0
Jan-1922,0,0,39.7,0,0,0,0,0,0,0,0,0,0,0,0,142.52,0,0,570.57,0,0,0
Feb-1922,0,0,39.15,0,0,0,0,0,0,0,0,0,0,0,0,157.52,0,0,582.06,0,0,0
Mar-1922,0,0,36.4,0,0,0,0,0,0,0,0,0,0,0,0,140.53,0,0,633.27,0,0,0
Apr-1922,0,0,32.59,0,0,0,0,0,0,0,0,0,0,0,0,160.51,0,0,667.75,0,0,0
May-1922,0,0,31.75,0,0,0,0,0,0,0,0,0,0,0,0,157.94,0,0,667.75,0,0,0
Jun-1922,0,0,33.15,0,0,0,0,0,0,0,0,0,0,0,0,154.65,0,0,623.86,0,0,0
Jul-1922,0,0,33.96,0,0,0,0,0,0,0,0,0,0,0,0,174.53,0,0,479.65,0,0,0
Aug-1922,0,0,32.47,0,0,0,0,0,0,0,0,0,0,0,0,220.3,0,0,399.19,0,0,0
Sep-1922,0,0,30.94,0,0,0,0,0,0,0,0,0,0,0,0,229.02,0,0,428.45,0,0,0
Oct-1922,0,0,31.09,0,0,0,0,0,0,0,0,0,0,0,0,239.3,0,0,445.17,0,0,0
Nov-1922,0,0,31.41,0,0,0,0,0,0,0,0,0,0,0,0,233.94,0,0,1016.78,0,0,0
Dec-1922,0,0,32.44,0,0,0,0,0,0,0,0,0,0,0,0,237.73,0,0,1038.72,0,0,0
Jan-1923,0,0,34.94,0,0,0,0,0,0,0,0,0,0,0,0,225.63,0,0,1073.21,0,0,0
Feb-1923,0,0,36.47,0,0,0,0,0,0,0,0,0,0,0,0,233.25,0,0,799.42,0,0,0
Mar-1923,0,0,37.03,0,0,0,0,0,0,0,0,0,0,0,0,236.84,0,0,959.31,0,0,0
Apr-1923,0,0,37.85,0,0,0,0,0,0,0,0,0,0,0,0,238.49,0,0,1992.81,0,0,0
May-1923,0,0,38.29,0,0,0,0,0,0,0,0,0,0,0,0,237.55,0,0,3283.37,0,0,0
Jun-1923,0,0,37.82,0,0,0,0,0,0,0,0,0,0,0,0,248.66,0,0,2883.14,0,0,0
Jul-1923,0,0,37.91,0,0,0,0,0,0,0,0,0,0,0,0,272.4,0,0,5709.85,0,0,0
Aug-1923,0,0,36.64,0,0,0,0,0,0,0,0,0,0,0,0,276.74,0,0,3905.15,0,0,0
Sep-1923,0,0,36.73,0,0,0,0,0,0,0,0,0,0,0,0,287.87,0,0,1392.98,0,0,0
Oct-1923,0,0,35.12,0,0,0,0,0,0,0,0,0,0,0,0,278.51,0,0,1079.48,0,0,0
Nov-1923,0,0,33.51,0,0,0,0,0,0,0,0,0,0,0,0,272.85,0,0,1027.23,0,0,0
Dec-1923,0,0,33.36,0,0,0,0,0,0,0,0,0,0,0,0,278.74,0,0,1981.31,0,0,0
Jan-1924,0,0,33.32,0,0,0,0,0,0,0,0,0,0,0,0,271.05,0,0,2215.39,0,0,0
Feb-1924,0,0,28.7,0,0,0,0,0,0,0,0,0,0,0,0,268.1,0,0,2209.12,0,0,0
Mar-1924,0,0,27.33,0,0,0,0,0,0,0,0,0,0,0,0,261.16,0,0,2044.01,0,0,0
Apr-1924,0,0,24.29,0,0,0,0,0,0,0,0,0,0,0,0,245.49,0,0,1655.27,0,0,0
May-1924,0,0,22.74,0,0,0,0,0,0,0,0,0,0,0,0,244.08,0,0,991.7,0,0,0
Jun-1924,0,0,22.01,0,0,0,0,0,0,0,0,0,0,0,0,238.14,0,0,842.27,0,0,0
Jul-1924,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,235.89,0,0,1190.25,0,0,0
Aug-1924,0,0,24.61,0,0,0,0,0,0,0,0,0,0,0,0,240.52,0,0,1358.49,0,0,0
Sep-1924,0,0,24.64,0,0,0,0,0,0,0,0,0,0,0,0,235.42,0,0,1113.96,0,0,0
Oct-1924,0,0,23.49,0,0,0,0,0,0,0,0,0,0,0,0,237.2,0,0,941.54,0,0,0
Nov-1924,0,0,24.56,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,907.06,0,0,0
Dec-1924,0,0,25.6,0,0,0,0,0,0,0,0,0,0,0,0,244.86,0,0,853.76,0,0,0
Jan-1925,0,0,27.02,0,0,0,0,0,0,0,0,0,0,0,0,252.24,0,17.54,997.97,0,0,0
Feb-1925,0,0,26.39,0,0,0,0,0,0,0,0,0,0,0,0,242.03,0,16.52,1269.67,0,0,0
Mar-1925,0,0,27.09,0,0,0,0,0,0,0,0,0,0,0,0,239.06,0,16.52,1099.33,0,0,0
Apr-1925,0,0,28.55,0,0,0,0,0,0,0,0,0,0,0,0,239.74,0,16.37,893.47,0,0,0
May-1925,0,0,28.24,0,0,0,0,0,0,0,0,0,0,0,0,232.22,0,15.35,821.37,0,0,0
Jun-1925,0,0,28.75,0,0,0,0,0,0,0,0,0,0,0,0,229.69,0,14.91,734.63,0,0,0
Jul-1925,0,0,29.96,0,0,0,0,0,0,0,0,0,0,0,0,233.41,0,16.67,774.34,0,0,0
Aug-1925,0,0,31.05,0,0,0,0,0,0,0,0,0,0,0,0,233.66,0,17.11,638.49,0,0,0
Sep-1925,0,0,30.81,0,0,0,0,0,0,0,0,0,0,0,0,232.65,0,16.37,451.44,0,0,0
Oct-1925,0,0,30.19,0,0,0,0,0,0,0,0,0,0,0,0,237.55,0,16.37,477.56,0,0,0
Nov-1925,0,0,31.28,0,0,0,0,0,0,0,0,0,0,0,0,234.76,0,15.06,390.83,0,0,0
Dec-1925,0,0,33.02,0,0,0,0,0,0,0,0,0,0,0,0,231.97,0,14.91,403.37,0,0,0
Jan-1926,0,0,35.1,0,0,0,0,0,0,0,0,0,0,0,0,236.79,0,14.52,403.37,0,0,0
Feb-1926,0,0,36.12,0,0,0,0,0,0,0,0,0,0,0,0,231.97,0,14.23,400.23,0,0,0
Mar-1926,0,0,34.49,0,0,0,0,0,0,0,0,0,0,0,0,232.73,0,13.79,359.48,0,0,0
Apr-1926,0,0,34.49,0,0,0,0,0,0,0,0,0,0,0,0,230.19,0,14.67,307.23,0,0,0
May-1926,0,0,34.27,0,0,0,0,0,0,0,0,0,0,0,0,221.57,0,13.5,251.84,0,0,0
Jun-1926,0,0,34.61,0,0,0,0,0,0,0,0,0,0,0,0,223.35,0,14.82,269.61,0,0,0
Jul-1926,0,0,35.47,0,0,0,0,0,0,0,0,0,0,0,0,224.62,0,15.11,461.89,0,0,0
Aug-1926,0,0,35.28,0,0,0,0,0,0,0,0,0,0,0,0,226.9,0,17.61,645.81,0,0,0
Sep-1926,0,0,34.4,0,0,0,0,0,0,0,0,0,0,0,0,226.9,0,18.34,579.97,0,0,0
Oct-1926,0,0,34.45,0,0,0,0,0,0,0,0,0,0,0,0,237.29,0,20.54,592.51,0,0,0
Nov-1926,0,0,35.27,0,0,0,0,0,0,0,0,0,0,0,0,241.1,0,19.66,562.21,0,0,0
Dec-1926,0,0,35.4,0,0,0,0,0,0,0,0,0,0,0,0,250.21,0,22.89,561.16,0,0,0
Jan-1927,0,0,35.28,0,0,0,0,0,0,12.11,0,0,0,0,0,265.23,0,25.52,700.15,0,0,0
Feb-1927,0,0,35.43,0,0,0,0,0,0,12.23,0,0,0,0,0,282.74,0,26.87,852.72,0,0,0
Mar-1927,0,0,34.84,0,0,0,0,0,0,12.11,0,0,0,0,0,285.24,0,29.89,947.81,0,0,0
Apr-1927,0,0,32.34,0,0,0,0,0,0,12.35,0,0,0,0,0,295.25,0,35.76,1153.67,0,0,0
May-1927,0,0,29.95,0,0,0,0,0,0,12.23,0,0,0,0,0,325.28,0,31.73,1177.71,0,0,0
Jun-1927,0,0,29.58,0,0,0,0,0,0,12.47,0,0,0,0,0,317.77,0,32.24,940.5,0,0,0
Jul-1927,0,0,28.99,0,0,0,0,0,0,12.59,0,0,0,0,0,327.89,0,32.57,1038.72,0,0,0
Aug-1927,0,0,29.39,0,0,0,0,0,0,13.2,0,0,0,0,0,337.9,0,35.76,1078.43,0,0,0
Sep-1927,0,0,30,0,0,0,0,0,0,13.56,0,0,0,0,0,362.93,0,34.25,1166.21,0,0,0
Oct-1927,0,0,30.18,0,0,0,0,0,0,13.8,0,0,0,0,0,365.44,0,32.24,1266.53,0,0,0
Nov-1927,0,0,29.6,0,0,0,0,0,0,13.8,0,0,0,0,0,362.93,0,32.41,1190.25,0,0,0
Dec-1927,0,0,30.92,0,0,0,0,0,0,13.8,0,0,0,0,0,360.43,0,33.25,1189.2,0,0,0
Jan-1928,0,0,31.42,0,0,0,0,0,0,13.92,0,0,0,0,0,367.94,0,33.89,1121.28,0,0,0
Feb-1928,0,0,30.59,0,0,0,0,0,0,14.29,0,0,0,0,0,357.93,0,32.05,1128.59,0,0,0
Mar-1928,0,0,30.58,0,0,0,0,0,0,15.38,0,0,0,0,0,350.42,0,31.72,1118.14,0,0,0
Apr-1928,0,0,30.74,0,0,0,0,0,0,16.1,0,0,0,0,0,345.41,0,31.55,1194.43,0,0,0
May-1928,0,0,30.77,0,0,0,0,0,0,16.71,0,0,0,0,0,337.9,0,33.39,1162.03,0,0,0
Jun-1928,0,0,32.01,0,0,0,0,0,0,16.83,0,0,0,0,0,330.39,0,32.55,1084.7,0,0,0
Jul-1928,0,0,32.25,0,0,0,0,0,0,16.83,0,0,0,0,0,330.39,0,31.89,1072.16,0,0,0
Aug-1928,0,0,30.68,0,0,0,0,0,0,17.43,0,0,0,0,0,350.42,0,32.05,1121.28,0,0,0
Sep-1928,0,0,30.9,0,0,0,0,0,0,19.01,0,0,0,0,0,362.93,0,30.88,1084.7,0,0,0
Oct-1928,0,0,30.12,0,0,0,0,0,0,19.49,0,0,0,0,0,372.95,0,29.22,1037.68,0,0,0
Nov-1928,0,0,29.44,0,0,0,0,0,0,19.85,0,0,0,0,0,380.45,0,29.88,1043.95,0,0,0
Dec-1928,0,0,28.92,0,0,0,0,0,0,19.85,0,0,0,0,0,380.45,0,30.38,1040.81,0,0,0
Jan-1929,0,0,29.32,0,0,0,0,0,0,20.57,0,0,0,0,0,375.19,0,30.72,993.79,0,0,0
Feb-1929,0,0,30.19,0,0,0,0,0,0,19.08,0,0,0,0,0,382.7,0,30.72,962.44,0,0,0
Mar-1929,0,0,29.73,0,0,0,0,0,0,19.48,0,0,0,0,0,380.2,0,29.55,907.06,0,0,0
Apr-1929,0,0,28.29,0,0,0,0,0,0,19.72,0,0,0,0,0,377.44,0,26.21,891.38,0,0,0
May-1929,0,0,26.7,0,0,0,0,0,0,19.6,0,0,0,0,0,357.44,0,25.54,852.72,0,0,0
Jun-1929,0,0,26.67,0,0,0,0,0,0,19.6,0,0,0,0,0,345.06,0,24.37,829.73,0,0,0
Jul-1929,0,0,26.07,0,0,0,0,0,0,20.09,0,0,0,0,0,349.95,129,25.04,833.91,0,0,0
Aug-1929,0,0,25.09,0,0,0,0,0,0,20.45,0,0,0,0,0,359.94,132.91,24.87,786.88,0,0,0
Sep-1929,0,0,25.33,0,0,0,0,0,0,20.69,0,0,0,0,0,359.94,131.61,22.54,765.98,0,0,0
Oct-1929,0,0,25.43,0,0,0,0,0,0,20.81,0,0,0,0,0,345.06,118.18,22.16,731.5,0,0,0
Nov-1929,0,0,25.45,0,0,0,0,0,0,20.21,0,0,0,0,0,327.78,118.18,22.16,704.33,0,0,0
Dec-1929,0,0,24.64,0,0,0,0,0,0,20.69,0,0,0,0,0,323.21,114.24,22.16,682.38,0,0,0
Jan-1930,0,0,24.65,0,0,0,0,0,0,19.6,0,0,0,0,0,322.45,106.36,23.84,691.79,0,0,0
Feb-1930,0,0,24.84,0,0,0,0,0,0,19.6,0,0,0,0,0,322.45,107.68,22.83,621.77,0,0,0
Mar-1930,0,0,23.31,0,0,0,0,0,0,19.24,0,0,0,0,0,317.77,102.42,22.83,606.1,0,0,0
Apr-1930,0,0,20.75,0,0,0,0,0,0,19.36,0,0,0,0,0,317.88,105.05,21.49,617.59,0,0,0
May-1930,0,0,20.5,0,0,0,0,0,0,19.6,0,0,0,0,0,305.36,105.05,20.32,611.32,0,0,0
Jun-1930,0,0,17.68,0,0,0,0,0,0,19.72,0,0,0,0,0,290.54,98.48,19.64,569.52,0,0,0
Jul-1930,0,0,17.33,0,0,0,0,0,0,19,0,0,0,0,0,278.02,97.17,19.31,565.34,0,0,0
Aug-1930,0,0,17.35,0,0,0,0,0,0,18.88,0,0,0,0,0,273.01,90.61,18.13,552.8,0,0,0
Sep-1930,0,0,15.48,0,0,0,0,0,0,18.6,0,0,0,0,0,283.22,87.98,17.63,514.14,0,0,0
Oct-1930,0,0,14.29,0,0,0,0,0,0,17.67,0,0,0,0,0,270.69,88.61,17.13,477.56,0,0,0
Nov-1930,0,0,16.16,0,0,0,0,0,0,16.58,0,0,0,0,0,270.69,98.48,16.45,511,0,0,0
Dec-1930,0,0,17.16,0,0,0,0,0,0,16.34,0,0,0,0,0,263.08,92.52,16.12,461.89,0,0,0
Jan-1931,40.44,457.46,17.16,0,0,0,0,0,0,15.85,0,0,0,0,0,258.33,91.21,16.12,430.4,0,0,0
Feb-1931,38.83,445.61,18.4,0,0,0,0,0,0,16.34,0,0,0,0,0,267.46,93.82,17.29,398.9,0,0,0
Mar-1931,40.36,462.23,19.89,0,0,0,0,0,0,16.58,0,0,0,0,0,267.46,91.21,16.36,398.9,0,0,0
Apr-1931,40.37,463.41,19.64,0,0,0,0,0,0,16.21,0,0,0,0,0,259.96,79.48,15.02,356.91,0,0,0
May-1931,39.64,447.99,19.15,0,0,0,0,0,0,14.28,0,0,0,0,0,242.46,89.91,13.02,325.42,0,0,0
Jun-1931,38.89,440.76,20.39,0,0,0,0,0,0,13.31,0,0,0,0,0,232.46,81.41,15.02,314.92,0,0,0
Jul-1931,38.06,437.9,21.38,0,0,0,0,0,0,13.19,0,0,0,0,0,232.46,83.39,0,314.92,0,0,0
