,Austrl,NewZe,Japan,India,Pakist,Philip,Safric,Argent,Brazil,Chile,Colomb,Mexico,Peru,Urugu,Venez,Czech,Greece,Hungar,Poland,Romani,Egypt,Israel
Jan-1919,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-1919,0,0,0.9917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-1919,0,0,1.0702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-1919,0,0,1.0962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-1919,0,0,1.1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1919,0,0,1.2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul-1919,0,0,1.2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-1919,0,0,1.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-1919,0,0,1.1759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct-1919,0,0,1.0928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov-1919,0,0,0.9981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dec-1919,0,0,1.0462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jan-1920,0,0,1.0904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Feb-1920,0,0,0.9969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mar-1920,0,0,0.9909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apr-1920,0,0,0.7781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May-1920,0,0,0.6246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun-1920,0,0,0.6505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jul-1920,0,0,0.6868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug-1920,0,0,0.6657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sep-1920,0,0,0.6751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oct-1920,0,0,0.6351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nov-1920,0,0,0.7119,0,0,0,0,0,0,0,0,0,0,0,0,1.2548,0,0,0,0,0,0
Dec-1920,0,0,0.7574,0,0,0,0,0,0,0,0,0,0,0,0,1.2435,0,0,0,0,0,0
Jan-1921,0,0,0.7886,0,0,0,0,0,0,0,0,0,0,0,0,1.1164,0,0,1,0,0,0
Feb-1921,0,0,0.8851,0,0,0,0,0,0,0,0,0,0,0,0,1.1896,0,0,0.8631,0,0,0
Mar-1921,0,0,0.8699,0,0,0,0,0,0,0,0,0,0,0,0,1.1734,0,0,0.9894,0,0,0
Apr-1921,0,0,0.877,0,0,0,0,0,0,0,0,0,0,0,0,1.0641,0,0,0.8443,0,0,0
May-1921,0,0,0.8604,0,0,0,0,0,0,0,0,0,0,0,0,1.0491,0,0,0.7603,0,0,0
Jun-1921,0,0,0.8638,0,0,0,0,0,0,0,0,0,0,0,0,1.0895,0,0,0.412,0,0,0
Jul-1921,0,0,0.8791,0,0,0,0,0,0,0,0,0,0,0,0,1.0368,0,0,0.5906,0,0,0
Aug-1921,0,0,0.9294,0,0,0,0,0,0,0,0,0,0,0,0,0.9295,0,0,0.4426,0,0,0
Sep-1921,0,0,0.8793,0,0,0,0,0,0,0,0,0,0,0,0,0.9107,0,0,0.4648,0,0,0
Oct-1921,0,0,0.8076,0,0,0,0,0,0,0,0,0,0,0,0,0.9021,0,0,0.5181,0,0,0
Nov-1921,0,0,0.7693,0,0,0,0,0,0,0,0,0,0,0,0,0.8582,0,0,0.3324,0,0,0
Dec-1921,0,0,0.7999,0,0,0,0,0,0,0,0,0,0,0,0,0.8515,0,0,0.4351,0,0,0
Jan-1922,0,0,0.8506,0,0,0,0,0,0,0,0,0,0,0,0,0.8398,0,0,0.3885,0,0,0
Feb-1922,0,0,0.8467,0,0,0,0,0,0,0,0,0,0,0,0,0.8329,0,0,0.4201,0,0,0
Mar-1922,0,0,0.7986,0,0,0,0,0,0,0,0,0,0,0,0,0.8372,0,0,0.4052,0,0,0
Apr-1922,0,0,0.7292,0,0,0,0,0,0,0,0,0,0,0,0,0.8595,0,0,0.3954,0,0,0
May-1922,0,0,0.7306,0,0,0,0,0,0,0,0,0,0,0,0,0.8638,0,0,0.3871,0,0,0
Jun-1922,0,0,0.7494,0,0,0,0,0,0,0,0,0,0,0,0,0.8498,0,0,0.3626,0,0,0
Jul-1922,0,0,0.7526,0,0,0,0,0,0,0,0,0,0,0,0,0.8879,0,0,0.3223,0,0,0
Aug-1922,0,0,0.7338,0,0,0,0,0,0,0,0,0,0,0,0,1.0067,0,0,0.3006,0,0,0
Sep-1922,0,0,0.7033,0,0,0,0,0,0,0,0,0,0,0,0,1.0339,0,0,0.2831,0,0,0
Oct-1922,0,0,0.7131,0,0,0,0,0,0,0,0,0,0,0,0,1.1033,0,0,0.3464,0,0,0
Nov-1922,0,0,0.7299,0,0,0,0,0,0,0,0,0,0,0,0,1.1314,0,0,0.7227,0,0,0
Dec-1922,0,0,0.7698,0,0,0,0,0,0,0,0,0,0,0,0,1.1732,0,0,0.6135,0,0,0
