Date,South Sea Company,Bank of England,East India Company,Royal African Company,Million Bank,Royal Exchange Assurance,London Assurance,Mississippi Company,Dutch East India Co. (VOC),Dutch West India Co. (WIC),Stad Rotterdam (insurance),Middelburg Assurance
1718-08-06,,,,,,,,273.75,,,,
1718-08-11,,,,,,,,313.75,,,,
1718-08-13,,,,,,,,333.75,,,,
1718-08-18,,,,,,,,333.75,,,,
1718-08-20,,,,,,,,313.75,,,,
1718-08-27,,,,,,,,323.75,,,,
1718-11-09,,,,,,,,282.5,,,,
1718-12-10,,,,,,,,282.5,,,,
1719-01-14,,,,,,,,320.0,,,,
1719-02-04,,,,,,,,315.0,,,,
1719-03-09,,,,,,,,475.0,,,,
1719-03-11,,,,,,,,460.0,,,,
1719-04-06,,,,,,,,445.0,,,,
1719-05-12,,,,,,,,500.0,,,,
1719-05-14,,,,,,,,510.0,,,,
1719-05-22,,,,,,,,570.0,,,,
1719-05-25,,,,,,,,640.0,,,,
1719-06-17,,,,,,,,635.0,,,,
1719-06-22,,,,,,,,750.0,,,,
1719-06-29,,,,,,,,770.0,,,,
1719-07-13,,,,,,,,800.0,,,,
1719-07-14,,,,,,,,850.0,,,,
1719-07-15,,,,,,,,860.0,,,,
1719-07-20,,,,,,,,987.5,,,,
1719-07-24,,,,,,,,1300.0,,,,
1719-07-25,,,,,,,,1375.0,,,,
1719-07-26,,,,,,,,1400.0,,,,
1719-07-27,,,,,,,,1410.0,,,,
1719-07-28,,,,,,,,1460.0,,,,
1719-07-29,,,,,,,,1650.0,,,,
1719-07-30,,,,,,,,2000.0,,,,
1719-07-31,,,,,,,,2225.0,,,,
1719-08-01,,,,,,,,2250.0,,,,
1719-08-02,,,,,,,,2325.0,,,,
1719-08-03,,,,,,,,2240.0,,,,
1719-08-04,,,,,,,,2275.0,,,,
1719-08-09,,,,,,,,2830.0,,,,
1719-08-10,,,,,,,,2830.0,,,,
1719-08-11,,,,,,,,2830.0,,,,
1719-08-12,,,,,,,,2900.0,,,,
1719-08-14,,,,,,,,3400.0,,,,
1719-08-17,,,,,,,,3500.0,,,,
1719-08-18,,,,,,,,3450.0,,,,
1719-08-21,113.0,143.0,188.75,12.0,,,,3400.0,,,,
1719-08-22,112.88,142.75,188.0,12.0,,,,3400.0,,,,
1719-08-23,113.12,143.0,188.5,12.0,,,,3450.0,,,,
1719-08-24,113.38,143.0,189.0,12.0,,,,,,,,
1719-08-25,113.62,143.5,189.25,12.0,,,,,,,,
1719-08-26,113.88,143.5,190.0,12.0,,,,3600.0,,,,
1719-08-28,114.12,144.5,191.0,13.0,,,,4000.0,,,,
1719-08-29,114.75,145.75,192.5,13.0,,,,4050.0,,,,
1719-08-30,115.0,145.25,192.0,13.0,,,,4100.0,,,,
1719-08-31,115.0,145.5,192.5,13.0,,,,4050.0,,,,
1719-09-01,115.5,146.75,194.0,13.0,,,,4025.0,,,,
1719-09-02,115.62,146.75,193.5,13.0,,,,4250.0,,,,
1719-09-04,115.75,147.0,194.0,13.0,,,,4450.0,,,,
1719-09-05,115.88,147.5,194.0,13.0,,,,4463.0,,,,
1719-09-06,116.62,149.0,195.25,13.0,,,,4537.0,,,,
1719-09-07,116.75,149.0,195.25,13.0,,,,5000.0,,,,
1719-09-08,116.88,149.25,195.5,13.0,,,,,,,,
1719-09-09,116.62,149.0,195.25,13.0,,,,5450.0,,,,
1719-09-11,115.62,148.0,194.0,13.0,,,,5900.0,,,,
1719-09-12,116.75,149.0,195.75,13.0,,,,5900.0,,,,
1719-09-13,,,,,,,,5650.0,,,,
1719-09-14,116.12,148.25,194.75,13.0,,,,5500.0,,,,
1719-09-15,116.38,148.5,195.5,13.0,,,,5500.0,,,,
1719-09-16,116.38,148.5,195.5,13.0,,,,5750.0,,,,
1719-09-17,,,,,,,,5800.0,,,,
1719-09-18,117.12,149.25,196.5,13.0,,,,,,,,
1719-09-19,117.12,149.0,196.5,13.0,,,,5650.0,,,,
1719-09-20,116.75,148.5,195.75,15.0,,,,5638.0,,,,
1719-09-21,117.38,149.25,197.0,25.0,,,,,,,,
1719-09-22,117.12,149.0,196.5,28.0,,,,5312.0,,,,
1719-09-23,116.75,148.75,196.0,21.0,,,,5275.0,,,,
1719-09-25,116.88,148.0,195.0,25.0,,,,5228.0,,,,
1719-09-26,116.5,146.5,193.5,23.0,,,,,,,,
1719-09-27,116.75,147.0,193.0,24.0,,,,5238.0,,,,
1719-09-28,116.5,,191.5,23.0,,,,5113.0,,,,
1719-09-29,116.25,142.0,190.75,23.0,,,,,,,,
1719-09-30,116.5,142.25,191.25,23.0,,,,4800.0,,,,
1719-10-02,117.0,143.5,193.25,23.0,,,,4838.0,,,,
1719-10-03,116.62,143.0,192.75,23.0,,,,4600.0,,,,
1719-10-04,116.62,143.0,193.0,23.25,,,,5000.0,,,,
1719-10-05,116.62,143.0,193.0,23.5,,,,5000.0,,,,
1719-10-06,116.62,143.25,193.0,23.5,,,,5000.0,,,,
1719-10-07,116.75,143.25,193.0,23.0,,,,5038.0,,,,
1719-10-09,116.62,143.0,192.5,22.5,,,,,,,,
1719-10-10,116.5,143.0,192.0,21.0,,,,5000.0,,,,
1719-10-11,116.5,142.25,192.0,21.0,,,,5000.0,,,,
1719-10-12,116.75,143.0,192.25,21.5,,,,5000.0,,,,
1719-10-13,116.88,143.25,193.0,21.75,,,,5025.0,,,,
1719-10-14,116.75,143.0,192.75,21.5,,,,5075.0,,,,
1719-10-15,,,,,,,,5400.0,,,,
1719-10-16,116.75,143.0,192.75,21.5,,,,,,,,
1719-10-17,116.75,142.62,192.75,21.5,,,,5400.0,,,,
1719-10-18,116.75,142.5,192.25,23.0,,,,5488.0,,,,
1719-10-19,116.75,142.75,192.25,22.5,,,,5425.0,,,,
1719-10-20,117.0,143.0,193.0,22.5,,,,5400.0,,,,
1719-10-21,116.88,143.0,193.0,22.0,,,,5563.0,,,,
1719-10-23,117.0,143.0,193.0,22.0,,,,5900.0,,,,
1719-10-24,117.25,143.25,193.25,22.0,,,,6500.0,,,,
1719-10-25,117.75,144.0,194.0,24.0,,,,6463.0,,,,
1719-10-26,117.75,143.5,194.0,24.0,,,,6463.0,,,,
1719-10-27,117.5,142.75,193.25,24.0,,,,6400.0,,,,
