Year,all_cap_total,all_cap_price,all_eq_total,all_eq_price,domestic_cap_total,domestic_cap_price,domestic_eq_total,domestic_eq_price,foreign_cap_total,foreign_cap_price,foreign_eq_total,foreign_eq_price,rail_cap_total,rail_cap_price,rail_eq_total,rail_eq_price,infra_cap_total,infra_cap_price,infra_eq_total,infra_eq_price,riskfree
1869,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1870,108.03,102.44,110.51,104.08,109.08,102.76,110.34,103.69,105.77,101.75,111.24,105.74,107.52,103.14,113.15,107.77,101.18,96.15,109.74,104.42,102.25
1871,125.56,112.73,133.25,118.92,134.79,120.43,132.81,118.0,105.39,95.53,135.01,122.65,124.4,113.79,141.88,129.74,117.29,106.33,125.71,114.49,104.93
1872,138.25,117.0,145.46,122.83,148.69,125.18,143.47,120.2,115.36,98.67,152.92,133.0,137.04,118.72,157.16,137.91,122.57,105.57,134.41,116.86,109.66
1873,147.51,117.37,156.83,125.22,160.0,126.73,155.38,122.93,119.22,95.65,162.16,133.99,146.49,119.93,172.93,145.09,127.79,103.97,135.44,111.76,113.84
1874,160.91,120.75,164.94,124.44,172.48,128.99,163.44,122.13,135.82,102.41,170.45,133.33,155.45,120.61,176.31,140.86,148.46,114.79,145.39,114.34,119.81
1875,179.87,127.78,179.42,127.91,191.62,135.76,177.76,125.36,155.24,110.47,185.5,137.72,177.64,131.29,197.29,150.88,168.5,124.24,163.24,121.95,124.16
1876,196.11,132.04,191.93,129.63,210.73,141.63,190.29,127.06,164.24,110.43,197.94,139.55,193.52,136.22,210.38,154.0,187.67,131.99,174.6,124.16,125.86
1877,206.87,132.09,203.56,130.45,220.62,140.55,200.95,127.31,178.0,113.68,213.48,142.83,208.23,139.53,229.31,160.57,180.82,121.43,187.26,126.32,129.64
1878,205.76,124.83,195.81,119.82,215.68,130.48,194.55,117.67,187.65,114.1,200.1,127.94,221.55,141.49,232.28,156.4,156.17,101.19,174.33,112.78,135.23
1879,230.53,133.48,220.0,129.52,243.01,140.29,215.77,125.35,206.48,119.83,235.71,145.85,241.9,147.81,251.14,163.96,188.32,117.78,204.82,127.24,138.44
1880,267.78,148.5,243.9,138.23,275.45,152.26,235.63,131.73,256.32,142.62,275.53,164.33,286.39,167.86,284.87,180.38,210.73,126.64,232.61,139.71,142.08
1881,301.4,159.89,253.05,137.85,298.22,157.2,243.47,130.75,328.59,176.52,290.03,166.58,324.84,183.0,296.62,181.34,216.87,126.14,245.19,142.02,147.94
1882,309.66,157.0,250.64,131.58,315.24,158.45,241.34,124.73,308.04,159.41,286.56,159.32,317.84,172.04,297.13,176.16,226.37,127.59,253.95,142.78,154.04
1883,312.12,151.12,242.55,122.73,322.92,154.82,235.42,117.19,294.89,146.29,270.19,145.14,311.71,161.62,294.9,169.34,238.15,128.29,256.09,138.52,158.28
1884,324.31,149.68,239.84,117.21,336.96,153.46,234.22,112.49,303.29,144.65,262.17,136.46,323.89,161.45,300.05,167.51,260.29,135.13,274.22,143.5,165.0
1885,340.35,149.85,245.66,115.99,357.73,154.95,239.73,111.25,310.73,142.25,269.11,135.31,338.03,162.16,293.01,158.96,282.25,139.89,298.03,149.67,170.06
1886,360.59,151.66,260.73,118.95,378.38,156.1,251.44,112.75,330.39,145.43,296.68,144.1,353.95,163.31,308.74,162.82,293.93,139.93,316.49,152.67,177.07
1887,375.69,150.81,267.38,117.78,397.01,155.68,257.53,111.45,339.05,143.71,305.51,143.48,361.03,160.24,313.65,161.07,315.58,144.1,339.91,157.51,181.83
