name,db_id,industry,chairman,secretary,address,market,lat,lon,street
"Agra, Limited",20063,BANKING COMPANIES,In rotation,"W. Blackhall, M.","35 Nicholas lane, Lombard st., E.C.",London.,51.512710000000006,-0.08529999999999999,Nicholas lane
"Alliance, Limited",20078,BANKING COMPANIES,"Sir L. Playfair, M.P.","R.O.Yeats, M.","1 Bartholomew lane, E.C.",London.,51.514006,-0.08597999999999999,Bartholomew lane
"Anglo-Argentine, Limited",20084,BANKING COMPANIES,,"J. Chidley, S.","17 Moorgate street, E.C.",London.,51.516602,-0.08765999999999999,Moorgate street
Anglo-Austrian,20081,BANKING COMPANIES,Pasco Grenfell,"H.Schumann, M.","31 and 32 Lombard st., E.C.","London, Vienna.",51.513192,-0.08635999999999999,Lombard st
"Anglo-Californian, Limited",20086,BANKING COMPANIES,C. Simpson,,"6 Tokenhouse yard, E.C.",London.,51.514836,-0.08688,Tokenhouse yard
"Anglo-Egyptian, Limited",20087,BANKING COMPANIES,Thos. Osborne,"W. Hart, M.","27 Clement's lane, Lombard st., E.C.",London.,51.512662000000006,-0.08496000000000001,Clement's lane
"Anglo-Foreign Banking, Limited",20091,BANKING COMPANIES,"J. Moyse, M.","W. Davies, S.","27 Clements lane, E.C.; 99 Bishopsgate street Within.",London.,51.512662000000006,-0.08496000000000001,Clements lane
"Anglo-Italian, Limited",20095,BANKING COMPANIES,Sir J. P. Lacaita,"V. Monaco, S.","12 St Helen's place, E.C.",London.,51.515572000000006,-0.08176,St Helen's place
Australian Joint-Stock,20111,BANKING COMPANIES,Hon.J.R. Dickson,"E. L. Campbell, M.","17 Billiter street, E.C.","Sydney, London.",51.512102,-0.07866000000000001,Billiter street
"Bank of Africa, Limited",20128,BANKING COMPANIES,D. P. Blaine,"R. G. Davis, S.","27 Fenchurch lane, E.C.",London.,51.511962000000004,-0.07946,Fenchurch lane
Bank of Australasia,20132,BANKING COMPANIES,,"E. Selby, S.","4 Threadneedle street, E.C.",London.,51.514024000000006,-0.08392000000000001,Threadneedle street
"Bank of Bolton, Lim. A",20027,BANKING COMPANIES,In rotation,"A. G. Wallis, S.","3 Clement's lane, Lombard st., E.C.",London.,51.512518,-0.08544,Clement's lane
"Bank of Egypt, Limited",20009,BANKING COMPANIES,Hon. S. C. Glyn,"E. Cheshire, S.","29 Old Broad street, E.C.",1st London.,51.515674000000004,-0.08292000000000001,Old Broad street
Bank of Montreal,20141,BANKING COMPANIES,SirWm.Rose,"E.H.Burne, M.","13 Old Broad st. and 13 Fenchurch st., E.C.",London.,51.515578000000005,-0.08324000000000001,Old Broad st
Bank of Westmoreland,20152,BANKING COMPANIES,R. H. Smith,"G. Hague, M.","6 Abchurch lane, E.C.",Montreal.,51.511836,-0.08538000000000001,Abchurch lane
Bank of New South Wales,20021,BANKING COMPANIES,D. Larnach,"D. George, M.","64 Old Broad st., E.C.; & Sydney.",London.,51.515884,-0.08222,Old Broad st
Bank of New Zealand,20022,BANKING COMPANIES,J. L. Campbell,"Jas. Macdonald, M.","1 Queen Victoria st., & Dunedin, E.C.",London.,51.512006,-0.09298,Queen Victoria st
Bank of Scotland,20030,BANKING COMPANIES,L. M. Rafe.,"C. B. Page, S.","7 Great Winchester street, E.C.",London.,51.515542,-0.08386,Great Winchester street
Royal Bank of Scotland,20891,BANKING COMPANIES,Earl & Marchess,"A. Wendy, M.","Bishopsgate and Lothbury, E.C.","Edinbrgh., Glasgow",51.5145,-0.088,Lothbury
"Bank of South Australia, L.",20031,BANKING COMPANIES,Rotation.,"Jas.Anderson, G. M.","31 Lombard st., E.C.",London.,51.513186,-0.08638,Lombard st
"Bank of Victoria, L.",20149,BANKING COMPANIES,W. Helder,"W. H. King, S.","4 Threadneedle street, E.C.",London.,51.514024000000006,-0.08392000000000001,Threadneedle street
"Land Mort. Bk. of Victoria, L.",45289,MISCELLANEOUS,H. L. Taylor.,"W. Fairclough, M.","Melbourne; & 28 Clement's lane, E.C.","London, Mlbourne",51.512668000000005,-0.08494,Clement's lane
"Ottoman Gas, Limited",47325,MISCELLANEOUS,Gen. Mac Murdo,S. Bradley.,26 Throgmorton street.,London.,51.515156,-0.08547999999999999,Throgmorton street
British Linen Company,20216,BANKING COMPANIES,Earl of Rosebery,"J. A. Wendy, M.","6 Edin.; & 41 Lombard st., E.C.","Edinbrgh., Glasgow.",51.513245999999995,-0.08617999999999999,Lombard st
"Capital and Counties, Lim.",20240,BANKING COMPANIES,E. R. Merriman.,"John Reid, S.","39 Threadneedle street, E.C.",London.*,51.514234,-0.08322,Threadneedle street
"City, Limited",20258,BANKING COMPANIES,,O. Kennedy M.,"Threadneedle street, E.C.",London.,51.514,-0.084,Threadneedle street
Colonial,20270,BANKING COMPANIES,H. H. Dobree.,"E. Carpenter, S.","13 Bishopsgate street Within, E.C.",London.,51.515578000000005,-0.08124,Bishopsgate street
"Commercial of Australia, L.",20276,BANKING COMPANIES,P. Melvill,"C. Clapin, M.","109 Cannon st. Within, E.C.; & Melhourne",London.,51.511554,-0.08982,Cannon st
"North of Scotland, Limited",20778,BANKING COMPANIES,Marquis of Tweeddale.,A. A1d.,Edinbro; & 65 Cornhill.,"Edin., Glasgow",51.5135,-0.083,Cornhill
"Land Co. of Australasia, L",45301,MISCELLANEOUS,In rotation.,"R. A. Black, S.",E.C.; & Hobart 122 Leadenhall st.,"London, Manchstr.",51.512632,-0.07956,Leadenhall st
"Delhi and London, Limited",20343,BANKING COMPANIES,D. H. Small.,"P. B. Baker, J., M.","123 Bishopsgate street Within, E.C.",London.*,51.515638,-0.08104,Bishopsgate street
"English Bk of Rio de Jan., L.",20383,BANKING COMPANIES,"C. Carrington, M.","A. Dick-Cunynghara, S.","2a Moorgate st., E C",London.,51.516512,-0.08796,Moorgate st
"McEwan & Co., James, Ltd.",46135,MISCELLANEOUS,C. J. Hogan.,"Jas. Campbell, S.","73 Cornhill, E.C.",London.,51.5135,-0.083,Cornhill
Hongkong & Shanghai Corp.,20045,BANKING COMPANIES,Lt. L. Dalrymple.,"G. Cameron, S.","31 Lombard street, E.C.",London.,51.513186,-0.08638,Lombard street
Imperial Ottoman,20468,BANKING COMPANIES,J. Keswick.,"G. Newall, M.","Bartholomew Lane, E.C.",[not]e.London.,51.514,-0.086,Bartholomew Lane
"Internationl Bank of Londn, Limited",20484,BANKING COMPANIES,Hon. P. C. Glyn.,"H. Gwinner, M.-D.","113 Cannon street, E.C.",London.,51.511578,-0.08974,Cannon street
"Ionian, Limited (liab. 25 l)",20489,BANKING COMPANIES,Chas. Fredk. Tyser.,"J. H. Bulley, S.","39 Lombard street, E.C.",London.*,51.513234,-0.08621999999999999,Lombard street
"London & Brazilian, Limtd.",20581,BANKING COMPANIES,P. W. Erskine.,"M. Gordon, M.-D.","108 Old Broad street, E.C.",London.,51.515548,-0.08334000000000001,Old Broad street
"London Platino-Brazilian, L",45660,MISCELLANEOUS,Hon. P. C. Glyn.,"J. Gordon, M.","8 Tokenhouse yard, E.C.",London.,51.514848,-0.08684,Tokenhouse yard
"London & County Bnkng, L.",20585,BANKING COMPANIES,W. Tattersall.,"P. Dryland, S.","21 Lombard street, E.C.",London.,51.513126,-0.08657999999999999,Lombard street
"London & Provincial, Lim.",20602,BANKING COMPANIES,"J.B.Corner,M.P.","J.J.Grigson,S.","Bank buildings, Lothbury, E.C.",London.,51.5145,-0.088,Bank buildings
"London, Paris & American, L.",20653,BANKING COMPANIES,"W. Lowson, M.P.",,"12 Mansion House street, E.C.",London.,51.512272,-0.08975999999999999,Mansion House street
"London & Westminster, L.",20618,BANKING COMPANIES,"J. W. Attlee, M.","G.W. Barnet,S.","1 St. James's square, & 213 Regent street, & 44 Lothbury, E.C.","London, London.",51.510078,-0.13674,Regent street
"Lands Allotment, Limited",45307,MISCELLANEOUS,W. Massingberd.,"M. Soule, S.","144 Leadenhall street, E.C.",London.,51.512764000000004,-0.07912,Leadenhall street
"National Discount Co., Lim",20735,DISCOUNT COMPANIES,H. F. Daggett.,"R. Blower, M.","Old Broad street, E.C.",London.,51.5155,-0.0835,Old Broad street
"Manchester & County, Lim.",20657,BANKING COMPANIES,G. Loch.,"T. E. Moore, S.","85 King street, Manchester.",Manchester.,51.51451,-0.0933,King street
"Manchester Joint Stock, L.",20667,BANKING COMPANIES,J. J. Aitken.,"W. M. Evans, S.","70 King street, Manchester.",Manchester.,51.51442,-0.0936,King street
Mercantile Bk. of Australia,20688,BANKING COMPANIES,"Sir M. H. Davies,G. W. Booker, M.",,"39 Lombard st, E.C.",London.,51.513234,-0.08621999999999999,Lombard st
"Metrop. & Birming. Bank., L.",20694,BANKING COMPANIES,"T. Lea, M.P.","Jas. Leigh, M.","126 Cannon street, E.C.",London.,51.511655999999995,-0.08947999999999999,Cannon street
National Bank of Austrlsia,20723,BANKING COMPANIES,H. F. Slatter.,"W. C. Satterw.,S.","153 Fenchurch street, E.C.; and Dublin.","Dublin, London.",51.512318,-0.07794,Fenchurch street
National Bank of India,20725,BANKING COMPANIES,"G. O. Campbell. R. Campbell, M.",,"47 Threadneedle street, E.C.",London.*,51.514282,-0.08306000000000001,Threadneedle street
"National Bank of Wales, L.",20734,BANKING COMPANIES,Messrs. Baxter.,"Duncan,S.","47 New Broad street, E.C.",London.,51.516082,-0.08306000000000001,New Broad street
"National Boiler Insur., L.",20715,INSURANCE COMPANIES,E. B. Hoare.,"Richd. Maxwell, S.","3 Gracechurch street, E.C.",,51.512518,-0.08244,Gracechurch street
"National Marine Insrnce, L.",20745,INSURANCE COMPANIES,,,"112 Bishopsgate street, E.C.","London, &c.",51.515572000000006,-0.08126,Bishopsgate street
New Viola,46925,MISCELLANEOUS,In rotation.,"R. T. Rohde, [secretary.]","40 Threadneedle st., E.C.",London.,51.51424,-0.08320000000000001,Threadneedle st
"Oriental Gas, Limited",47288,MISCELLANEOUS,"Sir H. Charlesworth. Andrew Whyte,M.",,"64, Old Broad street, Manch., Oldham, Oldhm.",,51.5155,-0.0835,Old Broad street
Standard Life,20967,INSURANCE COMPANIES,In rotation.,"H. Frost, S.","10 Clement's lane, Lombard st., E.C. London.",,51.51256,-0.0853,Clement's lane
"Union Bank of Australia, L.",21018,BANKING COMPANIES,In rotation.,"W.C. Newburn, M.","1 Bank buildings, Lothbury, E.C.",London.,51.514506,-0.08797999999999999,Bank buildings
"Union Bank of London, L.",21012,BANKING COMPANIES,In rotation.,"C. H. Grant, S.","2 Princes street, Bank, E.C.",London.,51.514012,-0.08696,Princes street
Union - Fire and Life,21010,INSURANCE COMPANIES,J. West.,"W. A. Harrison, M.","51 Old Broad street, E.C.",London.,51.515806000000005,-0.08248,Old Broad street
"National Safe Deposit, Lim.",46771,MISCELLANEOUS,W.J. Thomson.,"W. Hancock, M.","35 Cornhill, E.C.",London.,51.5135,-0.083,Cornhill
Union Discount of London,21025,DISCOUNT COMPANIES,C. R. Nugent.,M.,39 Cornhill. E.C.,London.,51.5135,-0.083,Cornhill
Alliance Assurance,20071,INSURANCE COMPANIES,Lord Rothschild.,"R. Lewis, S.","Bartholomew lane, Bank, E.C.","London, &c.",51.514,-0.086,Bartholomew lane
Atlas Fire and Life,20109,INSURANCE COMPANIES,Sir W. S. W. Baynes.,,"92 Cheapside, E.C.",London.*,51.514,-0.0935,Cheapside
"Boiler Insurance and Steam Power, Limited",20190,INSURANCE COMPANIES,C. J. Galloway.,"E. Hudseth, S.","67 King street, Manchester.",Manchester.*,51.514402000000004,-0.09366000000000001,King street
"British Wagon, Limited",41722,MISCELLANEOUS,,,"126 Cornhill, E.C.",,51.5135,-0.083,Cornhill
"British Law Fire, Limited",20211,INSURANCE COMPANIES,"Sir H.W. Parker, Bt.",F. Quiller,"26 Lothbury, E.C.",London.,51.5145,-0.088,Lothbury
Church of England Life,20256,INSURANCE COMPANIES,W. Edmunds.,"H. T. Easton, M.",20 King William st; Edinbh,"Edinburgh, Londn*",51.51162,-0.0866,King William st
"City of Lon. Fire Insur., L.",20264,INSURANCE COMPANIES,Hon. C.N. Lawrence.,"Rt. Hon. Sir J. T. Maberly, M.","40 Threadneedle street, E.C.",London.,51.51424,-0.08320000000000001,Threadneedle street
Commercial Cable,42666,MISCELLANEOUS,"Right Hon. C. T. Ritchie, M.P.","Benj. Wood, M.","19 Cornhill, E.C.",London.*,51.5135,-0.083,Cornhill
Rock Life,20880,INSURANCE COMPANIES,J. W. Watson.,"A. MacKay, S.","183 Fleet street, E.C.",London.*,51.514498,-0.10734,Fleet street
Eagle Life,20360,INSURANCE COMPANIES,Sir Samuel O.Haughton.,"A.S.H. Newton, A.","70 Pall Mall, S.W.",London.,51.507,-0.131,Pall Mall
"Employers' Liability Assurance Corporation, Lim",20371,INSURANCE COMPANIES,Lord St. A. Hamilton.,M.P.,"25 and 26, King William street, E.C.",London,51.5115,-0.087,King William street
Edinburgh Street Tramwys,43513,MISCELLANEOUS,"J.R. Bulwer, M.A.","A. Jackson, M.","12 Waterloo place, S.W.; 129 Edinbrgh, Londa.*",,51.507072,-0.13276000000000002,Waterloo place
"Equity & Law Life (10, 000 l c.)",20393,INSURANCE COMPANIES,J. A. Cooke.,"G. W. Berridge, S.","43 Lincoln's Inn fields, W.C.",London.*,51.516,-0.118,Lincoln'S Inn Fields
"Fire Insurance Association, Limited",20405,INSURANCE COMPANIES,Sir I.N. Fowler.,"D. Lawrie, M.","90 Cannon street, E.C.",London.*,51.51204,-0.0882,Cannon street
"General Mining Assoc., Limited",44027,MISCELLANEOUS,Hon. Fred. E. Baring.,"A. M. Hime, M.","100 Cannon street, E.C.",London.*,51.5115,-0.09,Cannon street
General Revers. & Invstmt.,20410,INSURANCE COMPANIES,E. Walmsley.,"D.A. Bumsted, L.& S.","5 Whitehall, S.W.",London.*,51.504,-0.126,Whitehall
Guardian In. Trust L. Prf.,44356,MISCELLANEOUS,J. R. Martin.,"T.G.C. Browne, S.","11 Lombard street, E.C.",London.,51.513065999999995,-0.08678,Lombard street
Imperial Fire,20462,INSURANCE COMPANIES,M. K. Smith,"E. Cozens S., S.","1 Old Broad st., E.C.","London, &c.",51.515506,-0.08348,Old Broad st
Imperial Life,20463,INSURANCE COMPANIES,A. Lawrie,"J. Crichton, S.","1 Old Broad street, E.C.","London, &c.",51.515506,-0.08348,Old Broad street
Legal and General Life,20544,INSURANCE COMPANIES,"G. E. Gregory, M.P.","E. Colqn., M.","10 Fleet street, E.C.",London.,51.51406,-0.1088,Fleet street
Life Association of Scotland,20551,INSURANCE COMPANIES,"H.Harben, M.P.","R. H. Barker, S.","11 King William st., Edinburgh.",Edinburgh.,51.511565999999995,-0.08678,King William st
"London & Provincial Fire, L.",20604,INSURANCE COMPANIES,E.C. Morgan,"Henry Williams, M.","11 Abchurch lane, E.C.",London.,51.511866,-0.08528000000000001,Abchurch lane
"Prudential Assurance, Lim.",20863,INSURANCE COMPANIES,J. B. Moffat,"G. Daniell, S.","7 Royal Exchange buildings, E.C.",London.,51.513542,-0.08486,Royal Exchange buildings
"Marine Insurance, Limited",20670,INSURANCE COMPANIES,A. Wallace,"J. D. Laurence, S.","7 Royal Exchange, Cornhill.",London.,51.5135,-0.083,Cornhill
"Land Securities, Limited",45306,MISCELLANEOUS,J. R. Smith,"A. F. Davies, S.","Royal Exchange, Lvrpl.",Liverpool.*,51.5135,-0.085,Royal Exchange
"Merchants, Lim. 4 % pref.",46211,MISCELLANEOUS,J. A. Steel,"M. Dawson, S.","37 Cornhill, E.C.",London.,51.5135,-0.083,Cornhill
"North British & Mercantile, Fire and Life",20771,INSURANCE COMPANIES,Baron Schreder,"F.W. Lance, S.","Edinburgh; 61 Threadneedle st, E.C.","London, Edinbrgh",51.514366,-0.08278,Threadneedle st
Northern Agricultural,47120,MISCELLANEOUS,J. W. Gates,"G. Fry, Joint-Secs.","1 Moorgate street, E.C.","Lncln,Edite.,Lon.",51.516506,-0.08797999999999999,Moorgate street
"Bodega, Limited",41197,MISCELLANEOUS,H. J. Jonathan,"Alfred Pirie, S.","82 and 83 & 24 Broad street ct., E.C.",London.,51.515944,-0.08352000000000001,Broad street
Pelican Life,20841,INSURANCE COMPANIES,Hon. H. R. Brand,"R. C. Traelver, S.","70 Lombard street, E.C.",London.*,51.513419999999996,-0.0856,Lombard street
Provident Life,20858,INSURANCE COMPANIES,W. H. Sprowson,"G. Stevens, S.",30 Regent street.,London.,51.51018,-0.13640000000000002,Regent street
Railway Passengers,20869,INSURANCE COMPANIES,Earl of Jersey,"W. S. Watson, S.","64 Cornhill, E.C.",London.*,51.5135,-0.083,Cornhill
Reliance Marine Limited,20874,INSURANCE COMPANIES,W. Blane,"J. Hodge, S.","Royal Exchange buildings East, Liverpool.",Liverpool.,51.5135,-0.085,Royal Exchange buildings East
Glasgow Royal Exchange,44129,MISCELLANEOUS,"J. Lubbock, Bart., M.P.","Geo.H.Barber, S.","Royal Exchange, E.C.",London.*,51.5135,-0.085,Royal Exchange
South Australian Company,48960,MISCELLANEOUS,W. Watson,"J. Buchanan, S.","52 Moorgate st., & Princes Exchange, Liverpool.",Liverpool.,51.516812,-0.08696,Moorgate st
Standard Marine Lim.,20970,INSURANCE COMPANIES,W. Newburn,"W. W. Baynes, S.","52 Moorgate street, E.C.",London.,51.516812,-0.08696,Moorgate street
