canonical_code,canonical_name,namespace,sww_code,sww_name,icf_colid,icf_uid,icf_company,icf_industry,icf_obs,icf_first_year,icf_last_year,scl_names,scl_group,scl_issues,match_status,notes
B-0030,American Gold,SWW ICPSR 4053,B-0030,American Gold,ID20200011,12,American Coal co.,other,61,1858,1871,,,,,
B-0466,Cuba 6's 1860,SWW ICPSR 4053,B-0466,Cuba 6's 1860,,,,,,,,"New-York Sixes, 1862 | U. S. Sixes, 1868 | U. States Sixes, 1862 | U. States Sixes, 1863",other,18,weak - check,
B-0480,Del. and Hudson Canal Company Bonds,SWW ICPSR 4053,B-0480,Del. and Hudson Canal Company Bonds,,,,,,,,Del. & Hud. Canal Co. Bk. Scrip,other,2,probable,
B-0520,Eastern 6s 1874,SWW ICPSR 4053,B-0520,Eastern 6s 1874,,,,,,,,"New-York State Fives, 1858 | U. States Sixes, 1867",other,12,weak - check,
B-0540,Erie 7s 1859,SWW ICPSR 4053,B-0540,Erie 7s 1859,,,,,,,,"Ohio Sixes, 1859",other,0,weak - check,
B-0566,Galena and Chicago 7s,SWW ICPSR 4053,B-0566,Galena and Chicago 7s,,,,,,,,Ohio Sevens,other,6,weak - check,
B-0613,Hudson River R.R. 7s 1869,SWW ICPSR 4053,B-0613,Hudson River R.R. 7s 1869,ID20200178,170,Hudson River R.R.S'p,Transport,6,1849,1870,,,,,
B-0620,Illinois Central 6s,SWW ICPSR 4053,B-0620,Illinois Central 6s,ID20200408,2045,Illinois Central Rights,Others,5,1856,1857,Illinois Fund Bonds,other,7,weak - check,
B-0624,Illinois Central,SWW ICPSR 4053,B-0624,Illinois Central,,,,,,,,Illinois Int. Imp. Stock,other,1,weak - check,
B-0627,"Illinois Central 7, 1875",SWW ICPSR 4053,B-0627,"Illinois Central 7, 1875",,,,,,,,"Illinois Int. Imp. Stock, 1847",other,1,weak - check,
B-0720,"Lehigh Coal and Navigation 5s, 1840",SWW ICPSR 4053,B-0720,"Lehigh Coal and Navigation 5s, 1840",,,,,,,,"Corporation Fives, 1870",other,1,weak - check,
B-0856,Long Island R.R.,SWW ICPSR 4053,B-0856,Long Island R.R.,,,,,,,,Long Island R. R.,other,33,strong,
B-0910,Masonic 5s,SWW ICPSR 4053,B-0910,Masonic 5s,,,,,,,,Alabama Fives,other,1,weak - check,
B-0987,New Haven and New London,SWW ICPSR 4053,B-0987,New Haven and New London,ID20200419,2061,New Haven & New London RR,Transport,20,1851,1854,,,,,
B-1000,N. Orleans Corporation,SWW ICPSR 4053,B-1000,N. Orleans Corporation,,,,,,,,"Corporation Fives, 1858",other,1,weak - check,
B-1054,NY Central R.R.,SWW ICPSR 4053,B-1054,NY Central R.R.,ID20200272,280,New York Central R.R. Con (& Hu,Transport,691,1853,1925,,,,,also ICF ID20200283 (New York Central R.R. Scrip)
B-1060,New York Central 6s,SWW ICPSR 4053,B-1060,New York Central 6s,,,,,,,,Kentucky Sixes,other,7,weak - check,
