date,"5s, 1853","6s, 1862","6s, 1856","6s, 1867","6s, 1868","5s, 1865","5s, 1874"
1843-02-11,,102.4375,,,,,
1843-02-18,,103.375,,,,,
1843-02-25,,103.5,,,,,
1843-03-04,,,,,,,
1843-03-11,,104.875,,,,,
1843-03-18,,106.625,,,,,
1843-03-25,,107.125,,,,,
1843-04-01,,107.25,,,,,
1843-04-08,,107.5,,,,,
1843-04-15,,108.5,,,,,
1843-04-22,,112.5,,,,,
1843-04-29,,112.375,,,,,
1843-05-06,,112.25,,,,,
1843-05-13,,112.75,,,,,
1843-05-20,,112.25,,,,,
1843-05-27,,113.5,,,,,
1843-06-03,,112.75,,,,,
1843-06-10,,112.625,,,,,
1843-06-17,,112.75,,,,,
1843-06-24,,113.75,,,,,
1843-07-01,,,,,,,
1843-07-08,104.75,115.75,,,,,
1843-07-15,104.75,115.0,,,,,
1843-07-22,103.75,114.5,,,,,
1843-07-29,,114.125,,,,,
1843-08-05,,,,,,,
1843-08-12,,113.875,,,,,
1843-08-19,103.5,114.375,,,,,
1843-08-26,,114.25,,,,,
1843-09-02,,113.875,,,,,
1843-09-09,,113.75,,,,,
1843-09-16,102.875,114.3125,,,,,
1843-09-23,,114.125,,,,,
1843-09-30,,114.125,,,,,
1843-10-07,,114.3125,,,,,
1843-10-14,103.5,114.5,,,,,
1843-10-21,,114.9375,,,,,
1843-10-28,103.75,115.625,,,,,
1843-11-04,104.375,116.375,,,,,
1843-11-11,105.625,118.5,,,,,
1843-11-18,105.0,108.375,,,,,
1843-11-25,105.875,118.625,,,,,
1843-12-02,105.25,115.25,,,,,
1843-12-09,105.375,116.125,,,,,
1843-12-16,103.625,116.1875,,,,,
1843-12-23,103.625,115.75,,,,,
1843-12-30,103.625,115.125,,,,,
1844-01-06,103.375,115.0,,,,,
1844-01-13,103.0,114.375,,,,,
1844-01-20,102.5,113.25,,,,,
1844-01-27,102.5625,113.625,,,,,
1844-02-03,102.875,113.25,,,,,
1844-02-10,102.625,113.8125,,,,,
1844-02-17,102.875,114.25,,,,,
1844-02-24,103.5,115.75,,,,,
1844-03-02,103.625,115.5,,,,,
1844-03-09,103.75,116.3125,,,,,
1844-03-16,103.75,115.875,,,,,
1844-03-23,102.375,113.375,,,,,
1844-03-30,102.375,113.125,,,,,
1844-04-06,102.375,112.625,,,,,
1844-04-13,101.875,113.0,,,,,
1844-04-20,102.125,112.8125,,,,,
