date,"5s, 1853","6s, 1862","6s, 1856","6s, 1867","6s, 1868","5s, 1865","5s, 1874"
1843-02-11,,5.857230018303844,,,,,
1843-02-18,,5.804111245465538,,,,,
1843-02-25,,5.797101449275362,,,,,
1843-03-04,,,,,,,
1843-03-11,,5.721096543504172,,,,,
1843-03-18,,5.627198124267292,,,,,
1843-03-25,,5.600933488914819,,,,,
1843-04-01,,5.594405594405594,,,,,
1843-04-08,,5.5813953488372094,,,,,
1843-04-15,,5.529953917050691,,,,,
1843-04-22,,5.333333333333334,,,,,
1843-04-29,,5.3392658509454956,,,,,
1843-05-06,,5.3452115812917596,,,,,
1843-05-13,,5.321507760532151,,,,,
1843-05-20,,5.3452115812917596,,,,,
1843-05-27,,5.286343612334802,,,,,
1843-06-03,,5.321507760532151,,,,,
1843-06-10,,5.3274139844617086,,,,,
1843-06-17,,5.321507760532151,,,,,
1843-06-24,,5.274725274725275,,,,,
1843-07-01,,,,,,,
1843-07-08,4.77326968973747,5.183585313174946,,,,,
1843-07-15,4.77326968973747,5.217391304347826,,,,,
1843-07-22,4.819277108433735,5.240174672489083,,,,,
1843-07-29,,5.257393209200438,,,,,
1843-08-05,,,,,,,
1843-08-12,,5.26893523600439,,,,,
1843-08-19,4.830917874396135,5.245901639344262,,,,,
1843-08-26,,5.25164113785558,,,,,
1843-09-02,,5.26893523600439,,,,,
1843-09-09,,5.274725274725275,,,,,
1843-09-16,4.860267314702309,5.248769819573537,,,,,
1843-09-23,,5.257393209200438,,,,,
1843-09-30,,5.257393209200438,,,,,
1843-10-07,,5.248769819573537,,,,,
1843-10-14,4.830917874396135,5.240174672489083,,,,,
1843-10-21,,5.220228384991843,,,,,
1843-10-28,4.819277108433735,5.189189189189189,,,,,
1843-11-04,4.790419161676647,5.155746509129968,,,,,
1843-11-11,4.733727810650888,5.063291139240507,,,,,
1843-11-18,4.761904761904762,5.536332179930796,,,,,
1843-11-25,4.7225501770956315,5.05795574288725,,,,,
1843-12-02,4.750593824228028,5.206073752711497,,,,,
1843-12-09,4.744958481613286,5.166846071044134,,,,,
1843-12-16,4.8250904704463204,5.164066702528241,,,,,
1843-12-23,4.8250904704463204,5.183585313174946,,,,,
1843-12-30,4.8250904704463204,5.211726384364821,,,,,
1844-01-06,4.836759371221282,5.217391304347826,,,,,
1844-01-13,4.854368932038835,5.245901639344262,,,,,
1844-01-20,4.878048780487805,5.298013245033113,,,,,
1844-01-27,4.875076173065204,5.2805280528052805,,,,,
1844-02-03,4.860267314702309,5.298013245033113,,,,,
1844-02-10,4.872107186358099,5.2718286655683695,,,,,
1844-02-17,4.860267314702309,5.25164113785558,,,,,
1844-02-24,4.830917874396135,5.183585313174946,,,,,
1844-03-02,4.8250904704463204,5.194805194805195,,,,,
1844-03-09,4.819277108433735,5.1585169263836645,,,,,
1844-03-16,4.819277108433735,5.177993527508091,,,,,
1844-03-23,4.884004884004884,5.2921719955898565,,,,,
1844-03-30,4.884004884004884,5.303867403314917,,,,,
1844-04-06,4.884004884004884,5.3274139844617086,,,,,
1844-04-13,4.9079754601226995,5.3097345132743365,,,,,
1844-04-20,4.8959608323133414,5.3185595567867034,,,,,
1844-04-27,4.8959608323133414,5.298013245033113,,,,,
1844-05-04,4.842615012106537,5.228758169934641,,,,,
1844-05-11,4.830917874396135,5.223068552774755,,,,,
1844-05-18,4.784688995215311,5.206073752711497,,,,,
1844-05-25,4.784688995215311,5.200433369447454,,,,,
1844-06-01,4.77326968973747,5.144694533762058,,,,,
1844-06-08,4.884004884004884,5.286343612334802,,,,,
1844-06-15,4.901960784313726,5.333333333333334,,,,,
1844-06-22,4.88997555012225,5.312672938572219,,,,,
1844-06-29,4.901960784313726,5.306799336650083,,,,,
1844-07-06,4.88997555012225,5.2921719955898565,,,,,
1844-07-13,4.884004884004884,5.298013245033113,,,,,
1844-07-20,4.881025015253203,5.2718286655683695,,,,,
1844-07-27,4.857316332726168,5.240174672489083,,,,,
1844-08-03,4.807692307692308,5.223068552774755,,,,,
1844-08-10,4.842615012106537,5.200433369447454,,,,,
1844-08-15,,,,,,,
1844-08-24,4.860267314702309,5.200433369447454,,,,,
1844-08-31,4.842615012106537,5.206073752711497,,,,,
1844-09-07,4.836759371221282,5.206073752711497,,,,,
1844-09-14,4.819277108433735,5.206073752711497,,,,,
1844-09-21,4.819277108433735,5.180787911494873,,,,,
1844-09-28,4.77326968973747,5.172413793103448,,,,,
1844-10-05,4.767580452920143,5.164066702528241,,,,,
1844-10-12,4.761904761904762,5.139186295503212,,,,,
1844-10-19,4.716981132075472,5.063291139240507,,,,,
1844-10-26,4.705882352941177,5.063291139240507,,,,,
1844-11-02,4.705882352941177,5.042016806722689,,,,,
1844-11-09,4.694835680751173,5.0,,,,,
1844-11-16,4.784688995215311,5.079365079365079,,,,,
1844-11-23,4.767580452920143,5.189189189189189,,,,,
1844-11-30,4.77326968973747,5.194805194805195,,,,,
1844-12-07,4.872107186358099,5.3097345132743365,,,,,
1844-12-14,4.866180048661801,5.257393209200438,,,,,
1844-12-21,4.830917874396135,5.286343612334802,,,,,
1844-12-28,4.842615012106537,5.3156146179401995,,,,,
1845-01-04,4.819277108433735,5.263157894736842,,,,,
1845-01-11,4.807692307692308,5.263157894736842,,,,,
1845-01-18,4.819277108433735,5.266044980800878,,,,,
1845-01-25,4.830917874396135,5.263157894736842,,,,,
1845-02-01,4.830917874396135,5.263157894736842,,,,,
1845-02-08,4.842615012106537,5.263157894736842,,,,,
1845-02-15,4.813477737665464,5.263157894736842,,,,,
1845-02-22,4.796163069544365,5.263157894736842,,,,,
1845-03-01,4.796163069544365,5.25164113785558,,,,,
1845-03-08,,,,,,,
1845-03-15,4.854368932038835,5.263157894736842,,,,,
1845-03-22,4.807692307692308,5.274725274725275,,,,,
1845-03-29,4.796163069544365,5.240174672489083,,,,,
1845-04-05,4.796163069544365,5.257393209200438,,,,,
1845-04-12,4.830917874396135,5.263157894736842,,,,,
1845-04-19,,,,,,,
1845-04-26,4.807692307692308,5.3097345132743365,,,,,
1845-05-03,4.807692307692308,5.3156146179401995,,,,,
1845-05-10,4.796163069544365,5.3097345132743365,,,,,
1845-05-17,,5.3097345132743365,,,,,
1845-05-24,4.796163069544365,5.26893523600439,,,,,
1845-05-31,4.807692307692308,5.240174672489083,,,,,
1845-06-07,4.830917874396135,5.333333333333334,,,,,
1845-06-14,,5.3452115812917596,,,,,
1845-06-21,4.88997555012225,5.3452115812917596,,,,,
1845-06-28,4.866180048661801,5.357142857142857,,,,,
1845-07-05,4.854368932038835,5.3097345132743365,,,,,
1845-07-12,4.807692307692308,5.263157894736842,,,,,
1845-07-19,,,,,,,
1845-07-26,4.784688995215311,5.217391304347826,,,,,
1845-08-02,4.807692307692308,5.25164113785558,,,,,
1845-08-09,4.819277108433735,5.25164113785558,,,,,
1845-08-16,4.819277108433735,5.263157894736842,,,,,
1845-08-23,4.842615012106537,5.429864253393665,,,,,
1845-08-30,4.842615012106537,5.473204104903079,,,,,
1845-09-06,,,,,,,
1845-09-13,4.848484848484849,5.417607223476298,,,,,
1845-09-20,4.819277108433735,5.423728813559322,,,,,
1845-09-27,4.854368932038835,5.405405405405405,,,,,
1845-10-04,4.854368932038835,5.381165919282512,,,,,
1845-10-11,4.854368932038835,5.369127516778524,,,,,
1845-10-18,4.854368932038835,5.381165919282512,,,,,
1845-10-25,4.872107186358099,5.387205387205387,,,,,
1845-11-01,4.854368932038835,5.369127516778524,,,,,
1845-11-08,4.860267314702309,5.405405405405405,,,,,
1845-11-15,4.878048780487805,5.429864253393665,,,,,
1845-11-22,4.854368932038835,5.393258426966292,,,,,
1845-11-29,4.807692307692308,5.357142857142857,,,,,
1845-12-06,,5.498281786941581,,,,,
1845-12-13,4.975124378109453,5.517241379310345,,,,,
1845-12-20,4.987531172069826,5.607476635514018,,,,,
1845-12-27,5.188067444876784,5.660377358490567,,,,,
1846-01-03,5.188067444876784,5.5813953488372094,,,,,
1846-01-10,,5.56844547563805,,,,,
1846-01-17,5.1020408163265305,5.633802816901409,,,,,
1846-01-24,5.0761421319796955,5.660377358490567,,,,,
