month,issue_date,code,security,printed_as,bid,ask,price,basis,n_trades,quantity,confidence,source,source_image
1817-03,1817-03-28,U-0010,United States 6 per cent stock of 1790,Six pr cent. Old & Defer'd,99.0,,99.0,bid only,,,all passes agreed,Shipping and Commercial List via FRASER,issues/1817/1817-03-28/p01.jpg
1817-03,1817-03-28,U-0070,United States 6 per cent Louisiana stock,do Louisiana,99.0,,99.0,bid only,,,all passes agreed,Shipping and Commercial List via FRASER,issues/1817/1817-03-28/p01.jpg
1817-03,1817-03-28,U-0050,United States 8 per cent loan of 1798,do War Loans,99.0,,99.0,bid only,,,all passes agreed,Shipping and Commercial List via FRASER,issues/1817/1817-03-28/p01.jpg
1817-03,1817-03-28,U-0140,United States 7 per cent stock of 1815,Seven per cent.,104.5,,104.5,bid only,,,all passes agreed,Shipping and Commercial List via FRASER,issues/1817/1817-03-28/p01.jpg
1817-03,1817-03-28,U-0040,United States 3 per cent stock of 1790,Three per cent.,64.0,,64.0,bid only,,,all passes agreed,Shipping and Commercial List via FRASER,issues/1817/1817-03-28/p01.jpg
1817-03,1817-03-28,U-0010,United States 6 per cent stock of 1790,U. S. Bank Script.,,80.5,80.5,ask only,,,passes disagreed - unverified,Shipping and Commercial List via FRASER,issues/1817/1817-03-28/p01.jpg
1817-03,1817-03-28,C-0530,New York City 5s,"Six per cent, City Loan",97.0,,97.0,bid only,,,all passes agreed,Shipping and Commercial List via FRASER,issues/1817/1817-03-28/p01.jpg
1817-03,1817-03-28,C-0240,Boston 5s,Seven per cent. do.,101.0,,101.0,bid only,,,all passes agreed,Shipping and Commercial List via FRASER,issues/1817/1817-03-28/p01.jpg
1817-03,1817-03-28,F-1930,New York,BANK OF New-York,118.0,,118.0,bid only,,,all passes agreed,Shipping and Commercial List via FRASER,issues/1817/1817-03-28/p01.jpg
1817-03,1817-03-28,F-1590,Merchants,Merchants,115.0,,115.0,bid only,,,all passes agreed,Shipping and Commercial List via FRASER,issues/1817/1817-03-28/p01.jpg
1817-03,1817-03-28,F-1390,Manhattan Company,Manhattan,112.0,,112.0,bid only,,,all passes agreed,Shipping and Commercial List via FRASER,issues/1817/1817-03-28/p01.jpg
