ID2020,idx2015,idx2020,idx2021
1815,93.35,93.35,93.35
1816,91.55,91.55,91.55
1817,109.34,109.34,109.34
1818,105.24,101.91,101.91
1819,95.95,92.92,92.92
1820,105.15,101.83,101.83
1821,108.66,105.23,105.23
1822,101.53,98.32,98.32
1823,106.9,103.52,103.52
1824,110.85,107.35,107.35
1825,96.45,93.4,93.4
1826,95.28,92.27,92.27
1827,89.33,86.51,86.51
1828,73.3,70.98,70.98
1829,80.87,78.31,78.31
1830,102.95,82.88,82.88
1831,85.4,84.09,84.09
1832,92.75,91.32,91.32
1833,87.1,85.76,85.76
1834,94.8,92.55,92.55
1835,88.41,92.77,92.77
1836,92.24,96.79,96.79
1837,75.61,79.34,79.34
1838,84.84,89.02,89.02
1839,62.25,65.33,65.33
1840,64.13,68.88,68.88
1841,49.04,54.4,54.4
1842,50.19,49.63,50.91
1843,69.84,69.06,70.84
1844,71.81,71.01,72.83
1845,63.47,62.76,64.37
1846,78.2,77.33,79.31
1847,84.18,83.24,85.38
1848,88.63,87.64,89.89
1849,95.54,94.47,97.4
1850,105.55,108.34,111.7
1851,8.08,100.36,103.47
1852,9.54,117.47,121.14
1853,92.03,107.79,111.28
1854,5.59,85.95,88.64
1855,6.5,99.92,103.05
1856,6.66,102.34,105.54
1857,5.05,81.1,83.64
1858,5.93,89.83,92.64
1859,5.89,89.27,92.07
1860,5.66,85.76,88.44
1861,5.45,82.56,85.15
1862,8.12,123.14,127.0
1863,11.45,173.57,179.0
1864,12.66,191.86,197.86
1865,12.49,189.3,195.23
1866,12.55,190.18,193.7
1867,12.22,185.21,187.08
1868,12.4,188.03,197.19
1869,12.05,182.67,191.56
1870,11.88,180.04,188.81
1871,12.27,188.56,197.74
1872,12.34,189.51,198.73
1873,10.15,155.97,163.56
1874,9.57,146.97,154.12
1875,9.11,140.03,146.85
1876,7.9,121.39,127.3
1877,8.04,123.51,129.52
1878,8.88,136.48,143.12
1879,13.44,206.5,216.55
1880,16.11,247.46,259.5
1881,16.41,252.11,264.38
1882,14.84,228.05,239.15
1883,12.61,193.74,203.17
1884,9.55,146.7,153.84
1885,13.88,213.19,223.57
1886,15.61,239.94,251.61
1887,13.71,210.84,221.1
1888,14.0,215.23,225.71
1889,14.63,224.9,235.85
1890,13.06,200.62,210.39
1891,13.44,208.09,218.22
1892,14.84,229.63,240.81
1893,12.33,190.91,196.74
1894,11.99,185.53,195.42
1895,12.24,189.47,199.53
1896,12.33,191.11,201.26
1897,14.07,218.15,235.31
1898,15.78,244.7,260.84
1899,16.44,254.9,271.72
1900,19.4,300.75,320.58
1901,24.17,374.74,399.45
1902,25.45,394.56,420.58
1903,22.17,343.76,366.43
1904,25.49,395.12,421.18
1905,27.19,421.48,449.28
1906,26.89,416.87,445.99
1907,19.83,307.39,328.86
1908,25.47,394.9,422.49
1909,30.09,466.45,499.03
1910,25.42,394.14,421.67
1911,25.98,402.71,430.83
1912,25.98,402.82,430.96
1913,22.23,344.66,362.53
1914,20.35,315.45,335.07
1915,23.58,365.56,400.91
1916,23.88,370.26,406.07
1917,18.28,288.06,314.31
1918,18.8,308.65,331.45
1919,20.57,390.87,401.02
1920,16.3,294.93,310.19
1921,17.0,289.75,309.37
1922,20.35,366.05,387.53
1923,19.92,361.7,383.16
1924,23.77,424.49,450.94
1925,29.29,563.65,587.14
