date,security,price,source,file,kind
1800-11-08,8%,109.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-08,US Bank Stock,137.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-11-08,6%,87.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-08,3%,54.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-08,NY Bank stock,129.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-11-08,Manhattan Bank stock,125.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-11-08,Deferred 6%,87.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-08,Columbian Ins. Shares,116.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-11-08,NY ins. shares,118.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-11-15,6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-15,3%,54.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-15,NY Bank stock,129.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-11-15,US Bank Stock,138.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-11-15,Columbian Ins. Shares,117.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-11-15,Deferred 6%,87.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-15,8%,109.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-15,NY ins. shares,118.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-11-15,Manhattan Bank stock,126.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-11-22,NY ins. shares,119.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-11-22,8%,109.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-22,6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-22,Manhattan Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-11-22,Deferred 6%,88.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-22,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-22,US Bank Stock,138.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-11-22,NY Bank stock,129.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-11-22,Columbian Ins. Shares,118.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-11-29,Deferred 6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-29,NY ins. shares,120.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-11-29,NY Bank stock,129.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-11-29,Manhattan Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-11-29,US Bank Stock,140.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-11-29,Columbian Ins. Shares,120.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-11-29,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-29,6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-11-29,8%,110.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-06,US Bank Stock,140.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-12-06,Manhattan Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-12-06,NY ins. shares,120.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-12-06,NY Bank stock,129.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-12-06,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-06,8%,111.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-06,Deferred 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-06,Columbian Ins. Shares,122.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-12-06,6%,92.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-13,NY Bank stock,128.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-12-13,US Bank Stock,140.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-12-13,6%,92.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-13,Manhattan Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-12-13,NY ins. shares,120.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-12-13,Deferred 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-13,8%,111.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-13,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-13,Columbian Ins. Shares,122.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-12-20,NY ins. shares,118.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-12-20,Deferred 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-20,6%,92.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-20,NY Bank stock,128.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-12-20,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-20,Manhattan Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-12-20,Columbian Ins. Shares,120.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-12-20,8%,110.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1800-12-20,US Bank Stock,140.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-12-27,US Bank Stock,140.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-12-27,Columbian Ins. Shares,120.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1800-12-27,Manhattan Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1800-12-27,NY Bank stock,128.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-03,Manhattan Bank stock,124.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-03,6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-03,NY Bank stock,128.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-03,Columbian Ins. Shares,119.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-01-03,navy 6%,92.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-03,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-03,US Bank Stock,136.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-10,NY Bank stock,129.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-10,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-10,6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-10,Manhattan Bank stock,121.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-10,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-10,NY ins. shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-01-10,8%,105.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-10,US Bank Stock,136.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-10,Columbian Ins. Shares,116.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-01-17,6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-17,Manhattan Bank stock,122.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-17,Columbian Ins. Shares,112.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-01-17,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-17,US Bank Stock,135.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-17,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-17,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-24,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-24,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-01-24,Manhattan Bank stock,124.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-24,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-24,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-24,6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-24,8%,105.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-24,US Bank Stock,134.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-31,US Bank Stock,133.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-31,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-01-31,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-31,6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-31,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-01-31,NY ins. shares,102.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-01-31,Manhattan Bank stock,123.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-01-31,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-07,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-07,NY ins. shares,102.5,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-07,Manhattan Bank stock,123.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-07,8%,106.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-07,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-07,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-07,US Bank Stock,132.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-07,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-07,6%,88.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-14,US Bank Stock,131.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-14,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-14,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-14,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-14,6%,88.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-14,NY ins. shares,105.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-14,Manhattan Bank stock,123.5,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-14,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-21,US Bank Stock,131.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-21,navy 6%,90.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-21,3%,55.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-21,8%,106.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-21,6%,88.75,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-21,Manhattan Bank stock,123.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-21,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-21,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-28,navy 6%,89.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-28,8%,106.5,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-28,NY Bank stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-28,Columbian Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-28,United Ins. Shares,110.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-28,US Bank Stock,130.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
1801-02-28,NY ins. shares,108.0,NY Price Current,New York Price Current 1800-1817.xls,Insurance
1801-02-28,6%,88.0,NY Price Current,New York Price Current 1800-1817.xls,Government
1801-02-28,Manhattan Bank stock,122.0,NY Price Current,New York Price Current 1800-1817.xls,Bank
