Year,Share price (g silver),Dividend (g silver)
1372,6664.72,
1373,6664.72,
1374,6664.72,
1375,3784.725,
1376,3784.725,
1377,3784.725,
1378,3784.725,
1379,3784.725,
1380,2463.075,
1381,2463.075,
1382,2463.075,
1383,2463.075,
1384,2463.075,
1385,3504.375,
1386,3504.375,
1387,2403.0,
1388,2403.0,
1389,2403.0,
1390,2403.0,
1391,2371.95,
1392,2371.95,
1393,2371.95,
1394,2371.95,
1395,1524.825,
1396,1524.825,
1397,1524.825,
1398,1694.25,
1399,1253.745,
1400,2258.774,
1401,2258.774,
1402,2258.774,
1403,2258.774,
1404,2258.774,
1405,2258.774,
1406,2710.8,
1407,2710.8,
1408,2710.8,
1409,2710.8,
1410,2710.8,
1411,2710.8,
1412,2466.0,
1413,2466.0,
1414,2466.0,
1415,2466.0,
1416,2466.0,
1417,2466.0,
1418,2466.0,
1419,2466.0,
1420,2466.0,
1421,2466.0,
1422,2466.0,
1423,2466.0,
1424,2466.0,
1425,2466.0,
1426,5387.152,
1427,2037.262,
1428,2037.262,
1429,3305.812,
1430,3364.582,
1431,4407.75,
1432,4407.75,
1433,3135.38,
1434,2350.8,
1435,2350.8,
1436,2350.8,
1437,1567.102,
1438,1567.102,
1439,1567.102,475.05
1440,1567.102,324.62
1441,2020.219,-258.43
1442,2222.241,
1443,2222.241,
1444,2020.219,411.68
1445,1616.175,
1446,1616.175,0.2
1447,1616.175,-21.51
1448,1583.669,
1449,1619.516,
1450,1267.447,
1451,1267.447,
1452,1267.447,
1453,1267.447,
1454,1267.447,
1455,1267.447,
1456,1267.447,
1457,1267.447,
1458,1267.447,
1459,1267.447,
1460,1267.447,
1461,1267.447,
1462,1267.447,126.23
1463,1267.447,129.98
1464,1267.447,
1465,1267.447,
1466,1267.447,
1467,1267.447,479.08
1468,1267.447,
1469,1267.447,467.83
1470,1267.447,629.67
1471,1267.447,
1472,1267.447,
1473,1267.447,
1474,1267.447,
1475,1267.447,
1476,1267.447,
1477,1267.447,
1478,1267.447,
1479,1267.447,
1480,1267.447,
1481,1267.447,
1482,1267.447,
1483,1267.447,
1484,1267.447,
1485,1267.447,
1486,1267.447,
1487,1267.447,
1488,1267.447,
1489,1267.447,
1490,1267.447,
1491,1267.447,
1492,1267.447,
1493,1267.447,
1494,1267.447,
1495,1267.447,
1496,1267.447,
1497,1267.447,
1498,1267.447,
1499,1267.447,
1500,1267.447,298.38
1501,1267.447,617.36
1502,1267.447,600.22
1503,1267.447,847.75
1504,1267.447,1012.18
1505,1267.447,
1506,1267.447,
1507,1267.447,
1508,1267.447,
1509,1267.447,
1510,1267.447,544.08
1511,1267.447,
1512,1267.447,
1513,1267.447,609.4
1514,1267.447,-187.58
1515,1267.447,
1516,1267.447,897.71
1517,1267.447,541.23
1518,1267.447,677.17
1519,1267.447,720.27
1520,1267.447,1123.36
1521,1267.447,779.47
1522,1267.447,
1523,26460.0,
1524,26460.0,
1525,26460.0,
1526,26460.0,803.11
1527,17110.8,
1528,17110.8,2015.53
1529,17110.8,1715.89
1530,17110.8,1753.06
1531,17110.8,2657.25
1532,26460.0,1880.45
1533,21168.0,1493.07
1534,21168.0,648.45
1535,21168.0,820.46
1536,21168.0,978.72
1537,21168.0,844.54
1538,15876.0,-260.36
1539,15876.0,-33.13
1540,15876.0,1142.61
1541,18036.0,514.9
1542,16262.46,-25.86
1543,16262.46,376.32
1544,18036.0,578.57
1545,18036.0,1789.4
1546,19539.0,866.61
1547,19539.0,422.82
1548,17585.1,885.1
1549,19539.0,785.54
1550,19539.0,752.03
1551,21042.0,710.28
1552,21042.0,818.7
1553,18436.7,1078.13
1554,20580.579,2273.02
1555,18036.0,943.63
1556,21042.0,1694.5
1557,22545.0,1085.82
1558,22545.0,605.57
1559,18787.5,1019.79
1560,19539.0,1177.87
1561,16794.0,921.91
1562,20992.5,1353.67
1563,16794.0,1872.88
1564,19593.0,2162.76
1565,22392.0,2275.31
1566,25191.0,1915.52
1567,36387.0,1098.82
1568,25191.0,827.24
1569,22392.0,651.79
1570,25191.0,1042.71
1571,28689.75,1901.64
1572,30789.0,4160.31
1573,15552.0,3495.4
1574,25920.0,2274.97
1575,29375.914,3058.79
1576,31104.0,2586.35
1577,33696.0,1561.57
1578,22031.741,1643.18
1579,33695.741,1904.49
1580,33538.269,1748.67
1581,23130.0,1569.24
1582,34695.0,1614.79
1583,35041.95,1595.67
1584,23130.0,1593.08
1585,30839.692,1820.04
1586,34695.0,2113.5
1587,34695.0,1763.66
1588,40477.269,1431.17
1589,43947.0,1397.92
1590,43947.0,1470.2
1591,34695.0,1718.85
1592,37008.0,3446.37
1593,36547.713,2700.43
1594,36547.713,985.92
1595,34695.0,1026.39
1596,16190.769,-133.0
1597,19267.29,-3469.5
1598,19267.29,-358.52
1599,19267.29,1581.51
1600,19267.29,543.56
1601,10489.455,641.86
1602,3226.5,457.09
1603,10905.57,962.57
1604,17208.0,1224.73
1605,29683.8,1606.53
1606,21510.0,1882.13
1607,29038.5,1148.1
1608,10905.57,1035.17
1609,19359.0,778.39
1610,19359.0,604.97
1611,19359.0,724.62
1612,31189.5,1361.85
1613,19359.0,-4527.86
1614,25812.0,1767.85
1615,11793.6,-56.16
1616,11793.6,526.5
1617,11793.6,744.12
1618,18720.0,870.48
1619,19656.0,1136.07
1620,19656.0,1396.98
1621,4212.0,1346.67
1622,4212.0,1863.81
1623,4212.0,1129.05
1624,24959.938,898.56
1625,24959.938,655.2
1626,24804.0,510.12
1627,28080.0,1241.37
1628,28080.0,2234.7
1629,26208.0,967.59
1630,26208.0,2372.76
1631,22464.0,2516.67
1632,24959.938,912.6
1633,11232.0,848.25
1634,9360.0,575.64
1635,9360.0,339.3
1636,9360.0,67.28
1637,15235.2,0.0
1638,13248.0,-1160.24
1639,12420.0,745.2
1640,16560.0,713.12
1641,16560.0,1476.95
1642,18630.0,1480.05
1643,20617.642,4186.11
1644,19656.0,3707.0
1645,17199.0,1394.35
1646,14742.0,1387.18
1647,19656.0,1085.18
1648,20475.0,986.9
1649,24242.4,1253.07
1650,24570.0,1976.86
1651,15586.875,1975.87
1652,17604.0,2143.65
1653,22005.0,1912.6
1654,23472.0,1781.49
