year,unique_id,name,sector,sector_fine,price_t,price_tm1,shares_tm1,dividend_usd,cap_ap,income,total_return,mktcap_tm1,outlier_flag
1871,401,Shanghai Gas Co.,Industrial,Utilities,213.143872,165.060082,,17.761989,0.291311,0.107609,0.398920,,False
1871,402,Compagnie du Gaz (also known as the French Gas company in this case),Industrial,Utilities,93.250444,69.985475,,7.400829,0.332426,0.105748,0.438174,,False
1871,300,Shanghai Dock Co.,Docks & Wharves,Docks & Shipbuilding,310.834813,174.303446,,29.603316,0.783297,0.169838,0.953135,,False
1871,301,Pootung Dock Co.,Docks & Wharves,Docks & Shipbuilding,2220.248668,1320.480655,,,0.681394,0.000000,0.681394,,False
1871,201,Shanghai Steam Navigation Co.,Shipping,Steam Navigation,283.451747,147.893833,,17.761989,0.916589,0.120100,1.036689,,False
1871,203,North-China Steamer Company,Shipping,Steam Navigation,111.012433,145.252872,,,-0.235730,0.000000,-0.235730,,False
1871,204,"China Sea, Saigon Straits S.S.Co",Shipping,Steam Navigation,55.506217,39.548396,,,0.403501,0.000000,0.403501,,False
1871,205,China and Straits S.N.Co,Shipping,Steam Navigation,27.753108,33.012016,,,-0.159303,0.000000,-0.159303,,False
1871,206,Shanghai Tug and Lighter Company,Shipping,Tugs & Lighters,592.066311,396.144196,,62.907046,0.494573,0.158798,0.653371,,False
1871,601,"Hongkong Fire In. Co.,Limited",Insurance,Fire Insurance,638.321492,494.354945,,26.642984,0.291221,0.053894,0.345115,,False
1871,602,"China Fire In. Co.,Limited",Insurance,Fire Insurance,185.390764,173.024231,,13.321492,0.071473,0.076992,0.148465,,False
1871,603,Victoria Fire Insurance Co. (Limited),Insurance,Fire Insurance,190.941385,143.362934,,13.321492,0.331874,0.092921,0.424796,,False
1871,101,Agra Bank,Banking,Banks,36.570000,53.559000,,3.900800,-0.317202,0.072832,-0.244370,,False
1871,103,"Chartered Bank of of India, Australia and China",Banking,Banks,68.264000,68.166000,,5.851200,0.001438,0.085838,0.087275,,False
1871,104,"Chartered Mercantile Bank of of India, London and China",Banking,Banks,121.900000,111.987000,,7.314000,0.088519,0.065311,0.153830,,False
1871,105,Oriental Bank,Banking,Banks,219.420000,199.629000,,14.628000,0.099139,0.073276,0.172415,,False
1871,106,Hongkong & Shanghai Banking Corporation,Banking,Banks,209.813499,156.957695,,16.651865,0.336752,0.106091,0.442843,,False
1871,1001,Shanghai Racquet Club,Miscellaneous,Entertainment,29.603316,105.638452,,8.880995,-0.719768,0.084070,-0.635698,,False
1871,1003,Soochow Bridge Co,Miscellaneous,General Miscellaneous,296.033156,264.096131,,22.202487,0.120930,0.084070,0.204999,,False
1871,1004,Recreation Fund,Miscellaneous,Entertainment,88.809947,15.819358,,0.000000,4.614004,0.000000,4.614004,,False
1871,501,"China Traders' Insurance Co.,Limited",Insurance,Marine Insurance,555.062167,2570.645715,,527.309059,-0.784077,0.205127,-0.578950,,False
1871,502,North-China Ins. Co.,Insurance,Marine Insurance,680.876258,693.252344,,,-0.017852,0.000000,-0.017852,,False
1871,503,Union In. Society of Canton,Insurance,Marine Insurance,2775.310835,2175.161759,,,0.275910,0.000000,0.275910,,False
1871,504,Yangtsze Insurance Assocation,Insurance,Marine Insurance,1406.157490,944.143668,,111.012433,0.489347,0.117580,0.606927,,False
1871,505,China and Japan Marine Insurance Co.,Insurance,Marine Insurance,205.743043,244.288921,,17.761989,-0.157788,0.072709,-0.085079,,False
1872,401,Shanghai Gas Co.,Industrial,Utilities,222.452914,213.143872,,17.796233,0.043675,0.083494,0.127169,,False
1872,402,Compagnie du Gaz (also known as the French Gas company in this case),Industrial,Utilities,88.981166,93.250444,,7.415097,-0.045783,0.079518,0.033735,,False
1872,300,Shanghai Dock Co.,Docks & Wharves,Docks & Shipbuilding,311.434080,310.834813,,29.660389,0.001928,0.095422,0.097350,,False
1872,201,Shanghai Steam Navigation Co.,Shipping,Steam Navigation,196.129319,283.451747,,17.796233,-0.308068,0.062784,-0.245284,,False
1872,203,North-China Steamer Company,Shipping,Steam Navigation,81.566069,111.012433,,,-0.265253,0.000000,-0.265253,,False
1872,204,"China Sea, Saigon Straits S.S.Co",Shipping,Steam Navigation,54.171734,55.506217,,6.771467,-0.024042,0.121995,0.097953,,False
1872,206,Shanghai Tug and Lighter Company,Shipping,Tugs & Lighters,852.736171,592.066311,,126.056651,0.440271,0.212910,0.653181,,False
1872,601,"Hongkong Fire In. Co.,Limited",Insurance,Fire Insurance,626.360670,638.321492,,27.085867,-0.018738,0.042433,0.023695,,False
1872,602,"China Fire In. Co.,Limited",Insurance,Fire Insurance,154.615156,185.390764,,13.542933,-0.166004,0.073051,-0.092953,,False
1872,603,Victoria Fire Insurance Co. (Limited),Insurance,Fire Insurance,156.872312,190.941385,,13.542933,-0.178427,0.070927,-0.107500,,False
1872,106,Hongkong & Shanghai Banking Corporation,Banking,Banks,84.643334,209.813499,,16.928667,-0.596578,0.080684,-0.515894,,False
1872,501,"China Traders' Insurance Co.,Limited",Insurance,Marine Insurance,2595.728904,555.062167,,507.860003,3.676465,0.914961,4.591426,,False
1872,502,North-China Ins. Co.,Insurance,Marine Insurance,697.019131,680.876258,,,0.023709,0.000000,0.023709,,False
1872,503,Union In. Society of Canton,Insurance,Marine Insurance,2539.300015,2775.310835,,,-0.085039,0.000000,-0.085039,,False
1872,504,Yangtsze Insurance Association,Insurance,Marine Insurance,1108.500000,1406.157490,,111.226457,-0.211681,0.079100,-0.132582,,False
1872,505,China and Japan Marine Insurance Co.,Insurance,Marine Insurance,206.139700,205.743043,,17.796233,0.001928,0.086497,0.088425,,False
1872,506,"Chinese Insurance Co.,Limited",Insurance,Marine Insurance,299.073113,405.195382,,27.085867,-0.261904,0.066846,-0.195058,,False
1873,401,Shanghai Gas Co.,Industrial,Utilities,195.149150,222.452914,,16.727070,-0.122740,0.075194,-0.047546,,False
1873,402,Compagnie du Gaz (also known as the French Gas company in this case),Industrial,Utilities,87.817117,88.981166,,7.666574,-0.013082,0.086160,0.073078,,False
1873,403,Hongkong & China Gas Co. (Limited),Industrial,Utilities,67.002370,73.357556,,4.876000,-0.086633,0.066469,-0.020164,,False
1873,300,Shanghai Dock Co.,Docks & Wharves,Docks & Shipbuilding,285.754112,311.434080,,27.878450,-0.082457,0.089516,0.007059,,False
1873,703,Shanghai & H'kew Wharf Co.,Docks & Wharves,Wharves & Godowns,163.088932,225.418953,,16.727070,-0.276507,0.074204,-0.202303,,False
1873,201,Shanghai Steam Navigation Co.,Shipping,Steam Navigation,157.513242,196.129319,,16.727070,-0.196891,0.085286,-0.111605,,False
1873,202,Union Steam Navigation Company,Shipping,Steam Navigation,97.574575,148.301943,,16.727070,-0.342055,0.112791,-0.229264,,False
1873,203,North-China Steamer Company,Shipping,Steam Navigation,55.756900,81.566069,,,-0.316420,0.000000,-0.316420,,False
1873,206,Shanghai Tug and Lighter Company,Shipping,Tugs & Lighters,696.961249,852.736171,,142.180095,-0.182677,0.166734,-0.015943,,False
1873,601,"Hongkong Fire In. Co.,Limited",Insurance,Fire Insurance,572.097156,626.360670,,24.739336,-0.086633,0.039497,-0.047136,,False
1873,602,"China Fire In. Co.,Limited",Insurance,Fire Insurance,137.097156,154.615156,,12.369668,-0.113301,0.080003,-0.033298,,False
1873,603,Victoria Fire Insurance Co. (Limited),Insurance,Fire Insurance,126.789100,156.872312,,12.369668,-0.191769,0.078852,-0.112917,,False
1873,106,Hongkong & Shanghai Banking Corporation,Banking,Banks,186.977279,84.643334,,22.437273,1.209002,0.265080,1.474082,,False
1873,1005,Shanghai and Pootung Foundry Co.,Miscellaneous,General Miscellaneous,80.847505,148.301943,,,-0.454845,0.000000,-0.454845,,False
1873,501,"China Traders' Insurance Co.,Limited",Insurance,Marine Insurance,2010.071090,2595.728904,,257.701422,-0.225624,0.099279,-0.126345,,False
1873,502,North-China Ins. Co.,Insurance,Marine Insurance,557.568999,697.019131,,,-0.200066,0.000000,-0.200066,,False
1873,503,Union In. Society of Canton,Insurance,Marine Insurance,1906.990521,2539.300015,,,-0.249009,0.000000,-0.249009,,False
