year,n_firms,mkt_ew_total,mkt_ew_price,mkt_vw_total,mkt_vw_price,published_ew_total,tael_usd,Banks (EW total),Bonds & Preferences (EW total),Cement & Building (EW total),Cotton & Textiles (EW total),Docks & Shipbuilding (EW total),Fire Insurance (EW total),Food & Beverage (EW total),General Insurance (EW total),General Mining (EW total),General Miscellaneous (EW total),Gold Mining (EW total),Hotels (EW total),Land & Property (EW total),Marine Insurance (EW total),Other Plantations (EW total),Printing & Media (EW total),Retail & Stores (EW total),Rubber Plantations (EW total),Steam Navigation (EW total),Sugar (EW total),Tobacco (EW total),Tugs & Lighters (EW total),Utilities (EW total),Wharves & Godowns (EW total)
1871,25,1.403391,1.329279,,,,,1.122399,,,,1.817265,1.306125,,,,1.204999,,,,1.040191,,,,,1.261289,,,1.653371,1.418547,
1872,17,1.741615,1.487733,,,,,0.54336,,,,1.994176,1.229169,,,,1.204999,,,,1.78408,,,,,1.087826,,,2.733322,1.532672,
1873,20,1.642139,1.285433,,,,,1.344317,,,,2.008253,1.149949,,,,0.656911,,,,1.455476,,,,,0.849488,,,2.689744,1.535414,0.797697
1874,18,1.5082,1.115273,,,,,0.990097,,,,2.026417,1.231464,,,,0.656911229845,,,,1.370582,,,,,0.514511,,,3.540543,1.724769,0.647929
1875,17,1.510572,1.05141,,,,,0.94353,,,,2.223697,1.459938,,,,0.656911229845,,,,1.304896,,,,,0.36502,,,3.5405425385729123,1.81381,0.70487
1876,16,1.537393,1.009722,,,,,1.145979,,,,2.340137,1.76317,,,,0.656911229845,,,,1.209747,,,,,0.36594,,,3.5405425385729123,1.881621,0.718748
1877,15,1.931761,1.143825,,,,,1.502566,,,,2.67497,2.053101,,,,0.656911229845,,,,1.713652,,,,,0.518506,,,3.5405425385729123,1.977288,0.649294
1878,15,2.108912,1.180197,0.804905,0.756114,,,0.933366,,,,2.828286,2.543798,,,,0.656911229845,,,,1.444494,,,,,0.519284,,,3.5405425385729123,3.122467,1.159477
1879,15,2.229609,1.180976,1.024156,0.919736,,,1.587947,,,,2.849368,2.848672,,,,0.656911229845,,,,1.426036,,,,,0.493284,,,3.719818,3.052027,1.215475
1880,16,2.261553,1.13272,1.089352,0.936709,,,1.697931,,,,2.909518,3.177922,,,,0.656911229845,,,,1.512131,,,,,0.39717,,,3.507874,2.995247,1.298846
1881,17,2.740133,1.204312,1.351579,1.115052,,,2.274967,,,,3.025672,3.718896,,,,0.656911229845,,,,1.724618,,,,,0.62445,,,3.318045,3.419787,1.543825
1882,20,3.133493,1.201854,1.575579,1.255635,,,2.767652,,,,3.971237,4.558526,,,0.14037,0.221487,,,,1.770291,,,,,1.259786,,,3.013402,3.946387,1.978411
1883,26,2.951597,1.003039,1.344588,1.03633,,,2.632679,,,,3.99879,1.25979,,,0.14037,0.22148681789945962,,,,1.316799,,,,,1.634665,,,3.031883,3.21314,1.392671
1884,27,2.251897,0.736268,0.862971,0.633258,,,1.372484,,,,4.713309,1.291951,,,0.14037,0.22148681789945962,,,,0.834203,,,,,1.403258,0.466057,,2.664198,3.159751,0.953817
1885,27,2.37892,0.747471,1.240299,0.874693,,,2.95365,,,,4.775539,1.43251,,,0.090504,0.22148681789945962,,,,0.806467,,,0.734387,,1.599729,0.520368,,2.439228,4.499267,0.989417
1886,27,2.414116,0.722985,1.237289,0.833308,,,2.959587,,,,4.908046,1.62418,,,0.117992,0.22148681789945962,,,,0.716879,,,0.675112,,1.826231,0.417484,,2.874283,4.313937,1.089946
1887,28,2.310838,0.660784,1.178178,0.759569,,,3.046871,,,,4.675866,1.476371,,,0.150858,0.22148681789945962,,,,0.713539,,,0.811168,,1.329865,0.289396,,2.895024,4.449533,1.066285
1888,33,2.377607,0.646587,1.234843,0.761142,,,3.124932,,,,3.59547,1.500678,,,0.153639,0.22148681789945962,,,,0.732706,,,0.717075,,1.409493,0.346884,,2.418949,5.69292,1.146221
1889,35,2.869546,0.743569,1.431214,0.848696,,,3.522604,,,,3.118369,1.824879,1.104872,,0.216542,0.22148681789945962,,,,0.849722,,,0.93064,,1.92482,0.70989,,1.891466,7.02878,1.388849
1890,40,2.23418,0.541004,1.167036,0.65796,,,2.98354,,,,4.161716,1.288868,0.910597,,0.234806,0.167973,,,,0.604319,,,0.616585,,1.557943,0.486306,,1.399696,5.967329,1.039531
1891,44,2.887702,0.669692,1.361195,0.742893,,,3.439452,,,,5.24293,1.7784,1.211642,,0.284923,0.221633,,1.311973,,0.74186,,,0.790062,,2.392613,0.33309,0.787607,2.270209,8.076601,1.437721
1892,46,2.2547,0.500451,1.015673,0.534589,,,1.384878,,,,5.930881,1.680675,1.037935,,0.035399,0.184668,,1.074965,,0.682851,,,0.281546,,2.0827,0.233161,0.607009,2.113705,7.21662,1.119673
1893,48,1.758648,0.365052,0.738706,0.370382,,,1.022118,,,,5.181265,1.418834,0.808591,,0.001734,0.123461,,0.342815,,0.583539,,,0.160364,,1.581365,0.545121,0.47885,1.724745,6.005138,0.923016
1894,39,1.86917,0.363682,0.726713,0.347967,,,0.93739,,,,5.412147,1.167139,0.8085907405311372,,0.000747,0.104822,,0.514409,,0.672431,,,0.144409,,2.140847,0.615733,0.764588,1.763288,5.528816,0.790635
1895,47,2.745778,0.510552,1.038522,0.477057,,,1.36139,0.936889,,,7.937439,1.785766,0.8085907405311372,,0.001074,0.142262,0.844858,0.5144089357668187,1.801182,1.042149,,,0.24193,,3.44552,0.685647,1.195495,2.734987,7.657631,1.202534
1896,55,3.572814,0.640078,1.159176,0.511419,,,2.030059,2.412786,,2.07195,8.851173,2.28896,0.8085907405311372,,0.001635,0.190616,2.044086,0.5144089357668187,2.026704,1.106506,,,0.307451,,3.604858,0.648152,1.318188,3.766247,8.679933,0.947343
1897,58,3.59105,0.616249,1.159821,0.491744,,,1.527956,0.979914,,2.232466,8.851172979888535,2.248857,1.327355,,0.001013,0.161269,4.676705,0.5144089357668187,2.008555,1.026651,,,0.281236,,4.271065,0.719929,1.333936,3.279316,10.492303,1.071949
1898,62,3.657053,0.60295,1.284383,0.524606,,,1.361038,1.288076,,2.435808,8.851172979888535,2.1159,1.105059,,0.001362,0.143642,8.93636,0.5144089357668187,2.124901,0.932876,,,0.251655,,5.160869,0.878234,0.773822,2.684868,10.360939,1.183193
1899,62,4.486795,0.71358,1.613015,0.63634,,,1.995576,0.974986,,2.369902,8.851172979888535,2.261709,1.020485,,0.002735,0.174701,13.38294,0.5144089357668187,2.849724,0.957271,,,0.315241,,5.991413,0.972903,1.170251,3.268838,10.501827,1.557982
1900,67,4.720835,0.72223,1.733693,0.66046,1.077034,1.5165,1.996879,0.638028,,1.400935,8.851172979888535,2.179342,1.083493,,0.001898,0.213547,9.785057,0.5144089357668187,3.524287,0.997917,,,0.275921,,6.155643,1.014773,1.104544,4.120151,14.621851,1.972958
1901,63,7.339926,1.077295,1.932469,0.711313,1.394525,1.4105,2.17273,12.690558,,1.747087,8.851172979888535,2.999261,1.446441,,0.001967,0.407652,2.683581,0.623846,4.218692,1.470197,,1.177546,0.474796,,8.521183,1.168201,1.086366,4.148267,16.813945,1.808767
1902,64,6.310817,0.879587,1.441566,0.510881,1.282908,1.6537,1.792845,0.917997,0.853467,1.668252,8.851172979888535,2.64739,1.761147,,0.000981,0.391209,1.466019,0.398899,3.517237,1.4822,,1.141331,0.430728,,5.932388,0.704379,1.140431,3.722323,19.165913,1.356535
1903,62,5.789285,0.75464,1.2197,0.413096,1.168754,1.9082,1.623282,0.15955,0.852346,1.403767,8.851172979888535,2.398271,1.375754,,0.000544,0.514296,1.787709,0.374338,3.240849,1.496021,,0.989109,0.4307283692158054,,4.596005,0.693092,1.181698,2.538848,17.732303,1.031565
1904,62,6.953522,0.855978,1.484036,0.482683,1.414334,1.69,2.209327,0.15954969686396228,1.359905,1.555694,8.851172979888535,3.03652,1.941473,,0.000732,0.601765,1.484492,0.400295,3.760727,1.91816,,1.187885,0.4307283692158054,,6.210627,1.214718,1.757644,2.774107,20.26733,1.191658
1905,65,8.831508,1.019642,1.804021,0.564166,1.75713,1.542,2.7409,0.15954969686396228,1.490427,2.941148,8.851172979888535,3.545964,2.455853,,0.001088,0.674725,1.302836,0.531929,4.205527,2.589704,,0.060273,0.4307283692158054,,5.921784,1.359041,2.04398,4.704176,24.370148,1.538227
1906,63,10.497528,1.129701,2.075425,0.598876,2.083055,1.4263,3.351962,0.15954969686396228,1.152933,4.956288,8.851172979888535,4.352369,2.242149,,0.001587,0.718603,1.625227,0.669114,3.781353,2.943631,,0.06027330155072351,0.4307283692158054,,7.623124,1.570298,2.995487,4.951277,25.734535,1.74311
1907,35,10.886409,1.091462,2.680182,0.744066,2.304697,1.3197,3.3519615392486926,0.15954969686396228,1.1529330710246395,4.418739,8.851172979888535,5.090078,2.351026,,0.002655,0.740303,1.6252270421452102,0.667314,3.720398,3.231173,,0.06027330155072351,0.4307283692158054,,12.317969,1.50197,2.995487199132314,5.08707,26.422599,1.560239
1908,25,10.533624,0.992034,2.660386,0.711079,2.337456,1.4366,3.284983,0.1603,0.616608,5.058356,8.851172979888535,5.090077993334745,2.548465,,0.0026547324893170456,0.732602,1.6252270421452102,0.459362,3.340713,3.195062,,0.06027330155072351,0.4307283692158054,,15.859952,1.938549,2.995487199132314,4.916511,26.42259883293061,1.025345
1909,37,12.210229,1.093518,3.186615,0.830131,2.736684,1.4349,3.202149,0.187364,0.89641,7.214961,8.851172979888535,5.090077993334745,2.87042,,0.0026547324893170456,0.748806,1.673933,0.456566,3.872871,3.091631,,0.066681,0.376018,3.782254,22.259411,2.402254,2.995487199132314,4.943872,25.878822,1.027975
1910,76,10.898154,0.919018,2.878852,0.726103,2.521414,1.4391,3.475903,0.188637,0.716049,5.521184,8.851172979888535,5.401285,2.54664,,0.002283,0.595057,0.766148,0.526132,3.567317,3.271431,0.834594,0.070022,0.313956,2.971679,21.561467,1.94331,2.995487199132314,4.381743,27.012676,0.972323
1911,102,9.440668,0.757945,2.081436,0.50606,2.322957,1.4369,0.415238,0.191331,0.85048,5.829282,8.851172979888535,5.87265,2.558902,,0.001589,0.403678,0.910108,0.498709,3.625079,3.67859,0.800048,0.073955,0.306904,2.012356,23.821454,1.783949,2.995487199132314,3.248143,28.600482,0.864041
1912,92,13.43104,1.01447,3.159054,0.738838,3.073994,1.4387,2.131895,0.207562,0.99714,10.139722,8.851172979888535,5.872650134090277,2.463987,,0.0037,0.446939,1.380726,0.328283,3.80141,3.457691,1.321668,0.074534,0.274895,3.135268,28.142047,1.951405,2.995487199132314,3.81102,30.662748,0.887548
1913,92,12.883483,0.846438,3.052597,0.648008,2.935091,1.564,2.417328,0.205179,1.076776,10.993801,8.851172979888535,5.872650134090277,2.710216,,0.003247,0.64538,1.3807262191976162,0.407677,3.820881,3.339504,1.031319,0.07453350230962835,0.325481,2.604941,33.643929,1.9514049888790133,2.995487199132314,4.294779,25.955648,0.851905
1914,12,10.627495,0.6617,2.708688,0.554683,2.650339,1.7857,2.331632,0.109278,1.0767763602192149,9.012685,8.851172979888535,5.872650134090277,2.7102158607357465,,0.002831,0.581879,1.3807262191976162,0.40767672956237194,3.8208812612483802,3.339503525724332,1.031318762578756,0.07453350230962835,0.32548138229905305,2.16705,33.643929313317535,1.9514049888790133,2.995487199132314,4.294779168891241,25.955648136191108,0.706167
