year,sector,n_companies,ew_cap_ap,ew_income,ew_total,vw_cap_ap,vw_income,vw_total
1871,Banks,5,0.041729,0.080670,0.122399,,,
1871,Docks & Shipbuilding,2,0.732346,0.084919,0.817265,,,
1871,Entertainment,2,1.947118,0.042035,1.989153,,,
1871,Fire Insurance,3,0.231523,0.074603,0.306125,,,
1871,General Miscellaneous,1,0.120930,0.084070,0.204999,,,
1871,Marine Insurance,5,-0.038892,0.079083,0.040191,,,
1871,Steam Navigation,4,0.231264,0.030025,0.261289,,,
1871,Tugs & Lighters,1,0.494573,0.158798,0.653371,,,
1871,Utilities,2,0.311868,0.106679,0.418547,,,
1872,Banks,1,-0.596578,0.080684,-0.515894,,,
1872,Docks & Shipbuilding,1,0.001928,0.095422,0.097350,,,
1872,Fire Insurance,3,-0.121056,0.062137,-0.058919,,,
1872,Marine Insurance,6,0.523913,0.191234,0.715147,,,
1872,Steam Navigation,3,-0.199121,0.061593,-0.137528,,,
1872,Tugs & Lighters,1,0.440271,0.212910,0.653181,,,
1872,Utilities,2,-0.001054,0.081506,0.080452,,,
1873,Banks,1,1.209002,0.265080,1.474082,,,
1873,Docks & Shipbuilding,1,-0.082457,0.089516,0.007059,,,
1873,Fire Insurance,3,-0.130567,0.066117,-0.064450,,,
1873,General Miscellaneous,1,-0.454845,0.000000,-0.454845,,,
1873,Marine Insurance,6,-0.243763,0.059576,-0.184187,,,
1873,Steam Navigation,3,-0.285122,0.066026,-0.219096,,,
1873,Tugs & Lighters,1,-0.182677,0.166734,-0.015943,,,
1873,Utilities,3,-0.074152,0.075941,0.001789,,,
1873,Wharves & Godowns,1,-0.276507,0.074204,-0.202303,,,
1874,Banks,1,-0.291288,0.027793,-0.263495,,,
1874,Docks & Shipbuilding,2,-0.042218,0.051263,0.009045,,,
1874,Fire Insurance,3,0.003843,0.067042,0.070885,,,
1874,Marine Insurance,4,-0.123851,0.065524,-0.058327,,,
1874,Steam Navigation,4,-0.419307,0.024979,-0.394328,,,
1874,Tugs & Lighters,1,0.213191,0.103121,0.316312,,,
1874,Utilities,2,0.081601,0.041723,0.123325,,,
1874,Wharves & Godowns,1,-0.222314,0.034564,-0.187750,,,
1875,Banks,1,-0.047032,0.000000,-0.047032,,,
1875,Docks & Shipbuilding,2,-0.006957,0.104311,0.097354,,,
1875,Fire Insurance,3,0.095815,0.089716,0.185531,,,
1875,Marine Insurance,6,-0.086850,0.038924,-0.047926,,,
1875,Steam Navigation,2,-0.332961,0.042411,-0.290550,,,
1875,Utilities,2,-0.023484,0.075109,0.051625,,,
1875,Wharves & Godowns,1,0.034026,0.053855,0.087881,,,
1876,Banks,1,0.184139,0.030426,0.214565,,,
1876,Docks & Shipbuilding,2,-0.051791,0.104154,0.052363,,,
1876,Entertainment,1,-0.110091,0.000000,-0.110091,,,
1876,Fire Insurance,2,0.120946,0.086756,0.207702,,,
1876,Marine Insurance,6,-0.111905,0.038988,-0.072917,,,
1876,Steam Navigation,1,-0.093611,0.096132,0.002522,,,
1876,Utilities,2,-0.024945,0.062331,0.037386,,,
1876,Wharves & Godowns,1,-0.031811,0.051499,0.019688,,,
1877,Banks,1,0.278630,0.032534,0.311164,,,
1877,Docks & Shipbuilding,2,0.088510,0.054573,0.143083,,,
1877,Fire Insurance,2,0.089292,0.075145,0.164437,,,
1877,Marine Insurance,5,0.359650,0.056888,0.416538,,,
1877,Steam Navigation,2,-0.166897,0.583810,0.416913,,,
