Definition,Year,Sector,Lookback_Return
Simple (<=-50%),1872,Banks,-0.516
Simple (<=-50%),1892,Banks,-0.597
Simple (<=-50%),1911,Banks,-0.881
Simple (<=-50%),1921,Banks,-0.523
Simple (<=-50%),1897,Bonds & Preferences,-0.594
Simple (<=-50%),1902,Bonds & Preferences,-0.928
Simple (<=-50%),1939,Bonds & Preferences,-0.526
Simple (<=-50%),1927,Cement & Building,-0.630
Simple (<=-50%),1920,Cotton & Textiles,-0.644
Simple (<=-50%),1883,Fire Insurance,-0.724
Simple (<=-50%),1920,Food & Beverage,-0.516
Simple (<=-50%),1920,General Insurance,-0.582
Simple (<=-50%),1882,General Mining,-0.860
Simple (<=-50%),1892,General Mining,-0.876
Simple (<=-50%),1894,General Mining,-0.569
Simple (<=-50%),1902,General Mining,-0.501
Simple (<=-50%),1882,General Miscellaneous,-0.663
Simple (<=-50%),1920,General Miscellaneous,-0.597
Simple (<=-50%),1901,Gold Mining,-0.726
Simple (<=-50%),1910,Gold Mining,-0.542
Simple (<=-50%),1893,Hotels,-0.681
Simple (<=-50%),1920,Land & Property,-0.524
Simple (<=-50%),1920,Other Plantations,-0.656
Simple (<=-50%),1925,Other Plantations,-0.545
Simple (<=-50%),1930,Other Plantations,-0.728
Simple (<=-50%),1905,Printing & Media,-0.949
Simple (<=-50%),1920,Printing & Media,-0.544
Simple (<=-50%),1892,Retail & Stores,-0.644
Simple (<=-50%),1920,Retail & Stores,-0.503
Simple (<=-50%),1920,Rubber Plantations,-0.571
Simple (<=-50%),1930,Rubber Plantations,-0.552
Simple (<=-50%),1884,Sugar,-0.534
Simple (<=-50%),1930,Sugar,-0.642
Simple (<=-50%),1920,Utilities,-0.517
Simple (<=-50%),1920,Wharves & Godowns,-0.528
Simple (<=-30%),1872,Banks,-0.516
Simple (<=-30%),1878,Banks,-0.379
Simple (<=-30%),1884,Banks,-0.479
Simple (<=-30%),1892,Banks,-0.597
Simple (<=-30%),1911,Banks,-0.881
Simple (<=-30%),1921,Banks,-0.523
Simple (<=-30%),1897,Bonds & Preferences,-0.594
Simple (<=-30%),1900,Bonds & Preferences,-0.346
Simple (<=-30%),1902,Bonds & Preferences,-0.928
Simple (<=-30%),1914,Bonds & Preferences,-0.467
Simple (<=-30%),1939,Bonds & Preferences,-0.526
Simple (<=-30%),1908,Cement & Building,-0.465
Simple (<=-30%),1925,Cement & Building,-0.314
Simple (<=-30%),1927,Cement & Building,-0.630
Simple (<=-30%),1900,Cotton & Textiles,-0.409
Simple (<=-30%),1920,Cotton & Textiles,-0.644
Simple (<=-30%),1930,Cotton & Textiles,-0.326
Simple (<=-30%),1939,Cotton & Textiles,-0.305
Simple (<=-30%),1883,Fire Insurance,-0.724
Simple (<=-30%),1920,Food & Beverage,-0.516
Simple (<=-30%),1920,General Insurance,-0.582
Simple (<=-30%),1882,General Mining,-0.860
Simple (<=-30%),1885,General Mining,-0.355
