Sector,N_Years,First_Year,Last_Year,Ann_Return,Cumulative_Return
Banks,61,1871,1940,0.0173,2.8460
Bonds & Preferences,19,1895,1940,-0.2789,0.0020
Cement & Building,26,1902,1930,0.0766,6.8173
Cotton & Textiles,41,1896,1940,0.0863,29.8055
Docks & Shipbuilding,28,1871,1940,0.0875,10.4798
Fire Insurance,39,1871,1911,0.0464,5.8727
Food & Beverage,38,1889,1939,0.0387,4.2282
General Insurance,16,1917,1940,0.1155,5.7492
General Mining,45,1882,1930,-0.1145,0.0042
General Miscellaneous,46,1871,1940,-0.0004,0.9818
Gold Mining,21,1895,1930,0.1440,16.8783
Hotels,29,1891,1930,0.0361,2.7973
Land & Property,28,1895,1940,0.1104,18.7738
Marine Insurance,44,1871,1916,0.0347,4.4786
Other Plantations,19,1910,1930,-0.1030,0.1269
Printing & Media,21,1901,1927,-0.1005,0.1080
Retail & Stores,38,1885,1930,0.0096,1.4401
Rubber Plantations,29,1909,1940,0.0655,6.3032
Steam Navigation,55,1871,1930,0.0652,32.2432
Sugar,40,1884,1930,0.0426,5.3098
Tobacco,17,1891,1925,0.0688,3.0983
Tugs & Lighters,54,1871,1930,0.0472,12.0896
Utilities,63,1871,1940,0.0720,79.9836
Wharves & Godowns,61,1873,1940,0.0085,1.6769
