month,market,Beer & Brewing,Cement & Building Materials,Chemicals,Coal Mining,Commercial Bank,Cotton Textiles,Electrical Equipment & Power,Explosives & Ammunition,Food Processing,Gas & Lighting,Glass Manufacturing,Gold & Precious Metals,Housing & Construction,Insurance,Iron & Steel,Land Bank,Machinery & Mechanical Engineering,Matches,Mercury Mining,Mining (General),Oil Production & Refining,Oil Transport & Pipeline,Other / Unclassified,Other Textiles,Paper & Cardboard,Pawnshop & Lending,Pharmaceuticals & Perfume,Printing & Publishing,Railway,Railway Car & Locomotive Building,Rubber Manufacturing,Shipbuilding,Steamship & Shipping,Sugar,Telephone & Communications,Timber & Forestry,Tobacco,Trading & Commerce,Vodka & Spirits,Water Supply
1865-02,1.00755,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.03738,,,,1.0,,,,,,,
1865-03,1.00952,,,,,,,,,,0.9863,,,,,,,,,,,,,,,,,,,1.10356,,,,1.0,,,,,,,1.01389
1865-04,0.98619,,,,,,,,,,1.06164,,,,0.96756,,,,,,,,,,,,,,,1.09478,,,,0.95989,,,,,,,1.01389
1865-05,0.93546,,,,,,,,,,1.06164,,,,0.92549,,,,,,,,,,,,,,,1.13189,,,,0.94438,,,,,0.85185,,1.01389
1865-06,0.95345,,,,,,,,,,1.15539,,,,0.85608,,,,,,,,,,,,,,,1.11413,,,,1.03881,,,,,0.85185,,1.01389
1865-07,1.00816,,,,,,1.07222,,,,1.20856,,,,0.84771,,,,,,,,,,,,,,,1.06061,,,,0.97578,,,,,0.85185,,1.01389
1865-08,1.09744,,,,,,1.22871,,,,1.20856,,,,0.89443,,,,,,,,,,,,,,,1.06061,,,,0.97578,,,,,0.85185,,1.19444
1865-09,1.10425,,,,,,1.22871,,,,1.20856,,,,0.90277,,,,,,,,,,,,,,,1.09377,,,,1.01831,,,,,0.85185,,1.16667
1865-10,1.14928,,,,,,1.22871,,,,1.26172,,,,1.00957,,,,,,,,,,,,,,,1.07247,,,,1.01331,,,,,0.85185,,1.16667
1865-11,1.14091,,,,,,1.22871,,,,1.2759,,,,1.01628,,,,,,,,,,,,,,,1.14166,,,,1.03173,,,,,0.85185,,1.16667
1865-12,1.15372,,,,,,1.22871,,,,1.31134,,,,1.02166,,,,,,,,,,,,,,,1.1524,,,,1.22652,,,,,0.85185,,1.1875
1866-01,1.19165,,,,,,1.22871,,,,1.43184,,,,1.02007,,,,,,,,,,,,,,,1.25521,,,,1.26844,,,,,0.85185,,1.1875
1866-02,1.30155,,,,,,1.26638,,,,1.43184,,,,1.12508,,,,,,,,,,,,,,,1.26291,,,,1.35067,,,,,0.87037,,1.1875
1866-03,1.28047,,,,,,1.27583,,,,1.43184,,,,1.12508,,,,,,,,,,,,,,,1.28133,,,,1.32626,,,,,0.85185,,1.1875
1866-04,1.31118,,,,,1.0,1.27583,,,,1.84729,,,,1.01953,,,,,,,,,,,,,,,1.28817,,,,1.39994,,,,,0.91111,,1.1875
1866-05,1.31346,,,,,1.0,1.27583,,,,1.85622,,,,0.99729,,,,,,,,,,,,,,,1.32105,,,,1.66785,,,,,0.7963,,1.21528
1866-06,1.30079,,,,,1.0,1.1955,,,,2.14359,,,,0.97175,,,,,,,,,,,,,,,1.29897,,,,1.63913,,,,,0.77778,,1.21528
1866-07,1.33297,,,,,1.0,1.1816,,,,1.96329,,,,1.08209,,,,,,,,,,,,,,,1.26532,,,,1.64624,,,,,0.77778,,1.21528
1866-08,1.34091,,,,,1.0,1.1816,,,,1.96329,,,,1.08209,,,,,,,,,,,,,,,1.25805,,,,1.64624,,,,,0.77778,,1.21528
1866-09,1.31725,,,,,1.0,1.09584,,,,1.96329,,,,1.08209,,,,,,,,,,,,,,,1.24299,,,,1.6368,,,,,0.77778,,1.21528
1866-10,1.32198,,,,,1.0,1.09584,,,,1.96329,,,,1.06545,,,,,,,,,,,,,,,1.25804,,,,1.65156,,,,,0.77778,,1.21528
1866-11,1.24318,,,,,1.0,1.03867,,,,1.69606,,,,1.05484,,,,,,,,,,,,,,,1.23703,,,,1.53653,,,,,0.77778,,1.21528
1866-12,1.26392,,,,,1.0,1.03867,,,,1.73933,,,,1.08197,,,,,,,,,,,,,,,1.23164,,,,1.53897,,,,,0.74074,,1.21528
1867-01,1.2531,,,,,1.01961,1.05088,,,,1.67876,,,,1.0871,,,,,,,,,,,,,,,1.2242,,,,1.52766,,,,,0.74074,,0.90278
1867-02,1.28015,,,,,1.02941,1.05088,,,,1.80462,,,,1.10448,,,,,,,,,,,,,,,1.21007,,,,1.54843,,,,,0.74074,,0.93056
1867-03,1.28656,,,,,1.02941,1.07532,,,,1.79582,,,,1.10448,,,,,,,,,,,,,,,1.21891,,,,1.50176,,,,,1.22222,,1.04167
1867-04,1.39844,,,,,1.06863,1.07532,,,,1.79582,,,,1.01858,,,,,,,,,,,,,,,1.20259,,,,1.40582,,,,,1.37037,,1.04167
1867-05,1.3958,,,,,0.98039,1.23317,,,,1.78261,,,,0.91854,,,,,,,,,,,,,,,1.07682,,,,1.46005,,,,,1.42963,,1.04167
1867-06,1.46734,,,,,0.98039,1.23317,,,,1.88747,,,,0.93315,,,,,,,,,,,,,,,1.12269,,,,1.55049,,,,,1.48148,,1.04167
1867-07,1.55307,,,,,0.98039,1.2825,,,,1.88747,,,,1.08987,,,,,,,,,,,,,,,1.11492,,,,1.48252,,,,,1.48148,,0.97222
1867-08,1.60407,,,,,0.98039,1.2825,,,,1.88747,,,,1.20225,,,,,,,,,,,,,,,1.1311,,,,1.48252,,,,,1.48148,,1.11111
1867-09,1.64771,,,,,0.98039,1.37667,,,,1.88747,,,,1.22054,,,,,,,,,,,,,,,1.16599,,,,1.46862,,,,,1.48148,,1.11111
1867-10,1.70861,,,,,1.03333,1.33226,,,,1.94806,,,,1.4848,,,,,,,,,,,,,,,1.17418,,,,1.5154,,,,,1.48148,,1.11111
1867-11,1.78931,,,,,1.04706,1.33226,,,,1.99466,,,,1.65911,,,,,,,,,,,,,,,1.18193,,,,1.65864,,,,,1.48148,,1.13889
1867-12,1.77277,,,,,1.04902,1.33226,,,,1.99466,,,,1.66153,,,,,,,,,,,,,,,1.17195,,,,2.06827,,,,,2.14815,,1.16667
1868-01,1.8011,,,,,1.07059,1.33226,,,,2.03195,,,,1.76187,,,,,,,,,,,,,,,1.22861,,,,2.20915,,,,,2.0,,1.16667
1868-02,1.8642,,,,,1.11765,1.33226,,,,2.00616,,,,1.78426,,,,,,,,,,,,,,,1.26742,,,,2.47899,,,,,2.25926,,1.25694
1868-03,1.93288,,,,,1.16078,1.06581,,,,2.22147,,,,1.7809,,,,,,,,,,,,,,,1.36393,,,,2.6718,,,,,2.37037,,1.25694
1868-04,2.06922,,,,,1.2,0.95415,,,,2.22147,,,,1.89684,,,,,,,,,,,,,,,1.44276,,,,3.13237,,,,,2.37037,,1.25694
1868-05,2.06574,,,,,1.18431,1.00406,,,,2.31178,,,,2.20057,,,,,,,,,,,,,,,1.47216,,,,3.62839,,,,,2.33333,,1.25694
1868-06,2.04875,,,,,1.17647,1.04066,,,,2.31178,,,,2.1744,,,,,,,,,,,,,,,1.44061,,,,3.65546,,,,,2.33333,,1.25694
1868-07,2.14937,,,,,1.17647,1.04066,,,,2.5141,,,,2.20041,,,,,,,,,,,,,,,1.48546,,,,3.79883,,,,,2.33333,,1.25694
1868-08,2.18688,,,,,1.20392,1.04066,,,,2.45374,,,,2.28883,,,,,,,,,,,,,,,1.41363,,,,3.99782,,,,,2.2963,,1.25694
1868-09,2.20197,,,,,1.29412,1.12071,,,,2.53561,,,,2.30651,,,,,,,,,,,,,,,1.44144,,,,4.07157,,,,,2.2963,,1.28125
1868-10,2.20067,,,,,1.2549,1.12071,,,,2.40115,,,,2.33094,,,,,,,,,,,,,,,1.43866,,,,4.2443,,,,,2.07407,,1.28125
1868-11,2.17009,1.05333,,,,1.3,1.04066,,,,2.39191,,,,2.32464,,,,,,,,,,,,,,,1.43845,,,,4.11948,,,,,2.07407,,1.25
1868-12,2.15029,1.05333,,,,1.29412,1.04066,,,,2.42885,,,,2.31353,,,,,,,,,,,,,,,1.41787,,,,4.12385,,,,,2.07407,,1.25
1869-01,2.18552,1.05333,,,,1.29412,1.04328,,,,2.42885,,,,2.34856,,,,,,,,,,,,,,,1.46235,,,,4.19439,,,,,2.07407,,1.30556
1869-02,2.36342,1.05333,,,,1.39216,1.04328,,,,2.79318,,,,2.4387,,,,,,,,,,,,,,,1.64261,,,,5.01217,,,,,2.33333,,1.38889
